id,realm,chinese,english
37,武者,突破成功，一声长啸震得屋瓦轻颤。,"With the breakthrough done, a long roar shook the roof tiles."
38,武者,体内劲力凝聚成一股，拳头握紧时隐隐发烫。,"The internal force condensed into one stream, and the clenched fist ran faintly hot."
39,武者,突破的瞬间，浑身的关节都松快了不少。,"In the moment of breakthrough, every joint felt noticeably looser."
40,武者,真气运转顺畅，连呼吸吐纳都带着一股劲道。,"The true qi flowed smoothly, and even breathing carried a sense of power."
41,武者,突破成功，体内仿佛装下了一座小山般的力量。,"With the breakthrough complete, the body felt like it now held the strength of a small mountain."
42,武者,体内真气一震，旧时练功的疲惫感彻底散去。,"The true qi shook once, and the old fatigue from training fully dissipated."
43,武者,突破的刹那，浑身肌肉如铁石般紧实。,"In that instant, the muscles tightened like iron and stone."
44,武者,真气贯通经脉，连脚步都比平时轻盈有力。,"The true qi flowed through the meridians, making even footsteps lighter yet more forceful."
45,武者,突破成功，一掌拍出竟带起一阵劲风。,"With the breakthrough done, a single palm strike stirred up a gust of force."
46,武者,体内劲力如潮水般涌动，久久不息。,"The internal force surged like a tide, lingering long after the moment passed."
47,武者,突破的瞬间，浑身的伤痛感都被一股暖流冲散。,"In the moment of breakthrough, a warm current swept away all lingering aches."
48,武者,真气运转，丹田处传来一阵沉甸甸的充实感。,"The true qi circulated, leaving a heavy, satisfying fullness in the dantian."
49,武者,突破成功，连握拳的力道都比从前重了几分。,"With the breakthrough complete, even the grip of a fist felt noticeably stronger than before."
50,武者,体内劲力贯通全身，浑身一震，境界悄然突破。,"The internal force surged through the entire body, and with a single shudder, the realm quietly broke through."
51,先天,天地灵气涌入体内，丹田如星海般闪烁。,"The world's spiritual qi poured into the body, the dantian shimmering like a sea of stars."
52,先天,突破的刹那，灵识忽然开阔，仿佛看见了更远的天地。,"In the instant of breakthrough, the spiritual sense suddenly expanded, as if glimpsing a farther horizon."
53,先天,灵气贯顶，浑身仿佛与天地产生了一丝共鸣。,"Spiritual qi rushed to the crown, and the body seemed to resonate faintly with heaven and earth."
54,先天,突破成功，丹田内的灵气凝练得愈发纯净。,"With the breakthrough complete, the qi in the dantian condensed into something purer than before."
55,先天,体内灵根微微震动，仿佛在回应天地的召唤。,"The spiritual root inside trembled faintly, as if answering a call from heaven and earth."
56,先天,突破的瞬间，远处的山川竟也仿佛清晰了几分。,"In the moment of breakthrough, even the distant mountains and rivers seemed to come into sharper focus."
57,先天,灵气如潮水般涌入丹田，境界悄然攀升。,"Spiritual qi surged into the dantian like a tide, and the realm quietly climbed higher."
58,先天,突破成功，灵识所及之处，竟能感受到细微的灵气流动。,"With the breakthrough done, the spiritual sense could now perceive even the faintest currents of qi."
59,先天,体内灵气与天地灵气共鸣，浑身泛起一层微光。,"The inner qi resonated with the world's qi, and a faint glow spread across the body."
60,先天,突破的刹那，心头忽然涌起一股莫名的澄澈感。,"In that instant, an inexplicable clarity rose in the heart."
61,先天,灵根深处传来一阵悸动，仿佛打开了新的门径。,"A throb stirred deep within the spiritual root, as if a new path had opened."
62,先天,突破成功，丹田内的灵气运转竟比从前快了几分。,"With the breakthrough complete, the qi circulation in the dantian ran noticeably faster than before."
63,先天,体内灵气贯通经脉，浑身泛起淡淡的灵光。,"Spiritual qi flowed through the meridians, leaving a faint glow across the skin."
64,先天,突破的瞬间，仿佛听见了天地间一声极轻的低鸣。,"In the moment of breakthrough, a faint hum seemed to echo across heaven and earth."
65,先天,灵气凝练之后，丹田处竟泛起一丝若有若无的香气。,"After the qi condensed, a faint, elusive fragrance seemed to rise from the dantian."
66,先天,突破成功，灵识所感的范围悄然扩大了几分。,"With the breakthrough done, the range of spiritual perception quietly widened."
67,先天,体内灵根与天地灵气交融，浑身一阵舒爽。,"The spiritual root merged with the world's qi, leaving the whole body refreshingly at ease."
68,先天,突破的刹那，仿佛触碰到了大道的一丝边缘。,"In that instant, it felt like brushing against the very edge of the great Dao."
69,先天,灵气贯顶之后，思绪竟比从前清明了许多。,"After the qi reached the crown, the mind grew far clearer than before."
70,先天,突破成功，丹田内的灵气如月华般温润流转。,"With the breakthrough complete, the qi in the dantian flowed as gently as moonlight."
71,先天,体内灵根震动，仿佛在诉说着突破的喜悦。,"The spiritual root trembled, as if voicing its own joy at the breakthrough."
72,先天,突破的瞬间，远处的飞鸟仿佛都为之一顿。,"In the moment of breakthrough, even the distant birds in flight seemed to pause."
73,先天,灵气贯通全身，浑身泛起一层若隐若现的光晕。,"Spiritual qi flowed through the entire body, leaving a faint, flickering halo."
74,先天,突破成功，灵根深处传来一声悠远的回响。,"With the breakthrough done, a distant echo resounded deep within the spiritual root."
75,先天,体内天地灵气交汇，境界终于悄然突破。,"The world's qi converged within, and the realm finally, quietly broke through."
76,炼气,大道法则微微震颤，仿佛在见证这一刻的突破。,"The laws of the great Dao trembled faintly, as if bearing witness to this moment of breakthrough."
77,炼气,突破的刹那，三千气脉同时鸣响，宛若钟磬齐奏。,"In the instant of breakthrough, three thousand qi-channels resonated together like bells and chimes."
78,炼气,天地灵气如百川归海般涌入体内，浑身震颤。,"The world's qi poured in like a hundred rivers converging to the sea, shaking the whole body."
79,炼气,突破成功，灵魄深处传来一声悠长的轻叹。,"With the breakthrough complete, a long, soft sigh echoed deep within the soul."
80,炼气,体内大道气机交融，仿佛触及了因果的一角。,"The Dao's energy merged within, as if brushing against a corner of cause and effect."
81,炼气,突破的瞬间，三魂七魄同时归位，浑身一震。,"In the moment of breakthrough, the three souls and seven spirits aligned at once, shaking the body."
82,炼气,灵魄深处忽然亮起一点微光，如星辰初醒。,"A faint light suddenly kindled deep within the soul, like a star awakening."
83,炼气,突破成功，天地间似有无形之力轻轻颔首。,"With the breakthrough done, an invisible force in heaven and earth seemed to nod in quiet approval."
84,炼气,体内三千大道气机归于一处，浑身泛起淡淡金光。,"Three thousand strands of Dao energy converged into one, leaving a faint golden glow."
85,炼气,突破的刹那，仿佛听见了跨越时空的一声回响。,"In that instant, an echo seemed to resound across time and space."
86,炼气,灵魄深处的因果之网微微显现，又悄然隐去。,"A faint glimpse of the web of cause and effect surfaced deep within the soul, then quietly faded."
87,炼气,突破成功，体内大道法则与肉身终于达成和解。,"With the breakthrough complete, the power of the laws and the physical body finally reached harmony."
88,炼气,体内灵气如星河流转，境界悄然攀升至新的高度。,"The inner qi flowed like a river of stars, the realm quietly rising to a new height."
89,炼气,突破的瞬间，灵魄深处响起一声若有若无的钟鸣。,"In the moment of breakthrough, a faint, ethereal bell tolled deep within the soul."
90,炼气,大道气机汇聚于丹田，浑身泛起一层淡淡的辉光。,"The Dao's energy gathered in the dantian, leaving a soft glow across the body."
91,炼气,突破成功，仿佛在因果长河中又前进了一步。,"With the breakthrough done, it felt like another step forward along the long river of cause and effect."
92,炼气,体内三魂七魄共鸣，灵魄深处传来一声轻吟。,"The three souls and seven spirits resonated together, a soft hum rising from deep within."
93,炼气,突破的刹那，天地灵气仿佛为之一静，随后涌动更甚。,"In that instant, the world's qi seemed to still for a breath, then surged even stronger."
94,炼气,灵魄深处的星光渐渐汇聚，凝成一缕清辉。,"The starlight deep within the soul gradually gathered, condensing into a single thread of clear radiance."
95,炼气,突破成功，体内大道法则悄然向肉身敞开一线门径。,"With the breakthrough complete, the power of the laws quietly opened a sliver of passage into the body."
96,炼气,体内三千气脉归于一统，浑身一震，境界豁然开朗。,"Three thousand qi-channels unified into one, and with a single shudder, the realm opened wide."
97,炼气,突破的瞬间，灵魄深处仿佛传来一声跨越前世的低唤。,"In the moment of breakthrough, a faint call from a past life seemed to echo deep within the soul."
98,炼气,大道气机与肉身彻底交融，浑身泛起淡淡的星辉。,"The Dao's energy fully merged with the physical body, leaving a faint starlit glow."
99,炼气,突破成功，因果长河中似有一道波纹悄然散开。,"With the breakthrough done, a ripple seemed to quietly spread across the long river of cause and effect."
100,炼气,体内灵魄与大道法则终于合一，境界至此再上一层。,"The soul and the power of the laws finally became one, and the realm rose to yet another level."
