event_id,event_type,weight,text_zh,text_en,reward_type,reward_value,min_realm,special_animation,biography_importance
cultivate_070,cultivate,10,感觉今天的悟性格外好,My comprehension feels sharp today,qi,4,,,normal
cultivate_071,cultivate,12,打坐到半夜被冻醒,Woke up cold from meditating too late,none,0,,,normal
cultivate_072,cultivate,10,练气时数错了周天圈数,Lost count of my qi circulation cycles,none,0,,,normal
cultivate_073,cultivate,10,终于把那本秘籍翻到最后一页,Finally reached the last page of the manual,none,0,,,normal
cultivate_074,cultivate,12,修炼时窗台上的花开了,A flower bloomed on the sill as I trained,qi,4,,,normal
cultivate_075,cultivate,8,感觉自己又行了又不太行,Feeling capable and useless at once,qi,4,,,normal
cultivate_076,cultivate,8,打坐时鼻子有点痒强忍着,Nose itched mid-trance but I held still,qi,4,,,normal
cultivate_077,cultivate,10,把灵气压进丹田时打了个寒颤,Shivered as I pressed qi into my dantian,stone,1,,,normal
cultivate_078,cultivate,12,修炼一整天只为那一瞬清明,Trained all day for one clear instant,none,0,,,normal
cultivate_079,cultivate,12,对着自己的倒影练习神情,Practiced my expression in a reflection,none,0,,,normal
cultivate_080,cultivate,12,感觉离凡人越来越远了一点,Feeling a bit less ordinary each day,qi,5,,,normal
lazy_001,lazy,12,认真研究蚂蚁搬家的路线,Carefully studied the migration route of ants,none,0,,,normal
lazy_002,lazy,12,躺在屋顶上看了一天云,Lay on the roof watching clouds all day,none,0,,,normal
lazy_003,lazy,12,把修炼推迟到了明天,Postponed cultivation to tomorrow again,none,0,,,normal
lazy_004,lazy,10,决定先休息一下再休息一下,Decided to rest a bit then rest some more,none,0,,,normal
lazy_005,lazy,8,研究了半天怎么躺最舒服,Spent ages finding the comfiest lying position,none,0,,,normal
lazy_006,lazy,8,对着墙发了一下午的呆,Stared at a wall all afternoon,none,0,,,normal
lazy_007,lazy,8,把闭关变成了闭眼,Turned secluded cultivation into closed eyes,none,0,,,normal
lazy_008,lazy,12,数了数院子里有几片落叶,Counted the fallen leaves in the yard,none,0,,,normal
lazy_009,lazy,10,打着哈欠翻了翻功法,Yawned and flipped through the manual,none,0,,,normal
lazy_010,lazy,8,决定今天就当作休息日,Declared today a rest day,none,0,,,normal
lazy_011,lazy,8,躺平之后感觉天都蓝了,The sky looks bluer when you lie flat,qi,2,,,normal
lazy_012,lazy,10,把扫地的活又拖了一天,Put off sweeping for another day,none,0,,,normal
lazy_013,lazy,10,看蜘蛛织网看得入了迷,Got mesmerized watching a spider weave,none,0,,,normal
lazy_014,lazy,8,假装在打坐其实在打盹,Pretended to meditate but actually napped,none,0,,,normal
lazy_015,lazy,12,研究了一下午自己的手相,Read my own palm all afternoon,none,0,,,normal
lazy_016,lazy,10,把功课藏起来眼不见为净,Hid my homework out of sight out of mind,none,0,,,normal
lazy_017,lazy,10,躺着想了想人生的意义,Lay around pondering the meaning of life,qi,2,,,normal
lazy_018,lazy,12,决定先吃点东西再开始懒,Ate first then got serious about slacking,none,0,,,normal
lazy_019,lazy,10,看了好久窗外的麻雀,Watched the sparrows outside for ages,none,0,,,normal
lazy_020,lazy,8,把伸懒腰当成了锻体,Counted a good stretch as body training,none,0,,,normal
lazy_021,lazy,8,摸了一上午的鱼很有成就感,Slacked all morning and felt accomplished,none,0,,,normal
lazy_022,lazy,10,决定把灵气攒着以后再用,Decided to save my qi for later,none,0,,,normal
lazy_023,lazy,10,研究了下云朵像什么形状,Pondered what the clouds looked like,none,0,,,normal
lazy_024,lazy,10,把书摊在脸上假装在看,Draped a book on my face pretending to read,qi,2,,,normal
lazy_025,lazy,10,躺在草地上听虫子叫,Lay in the grass listening to insects,none,0,,,normal
lazy_026,lazy,10,发呆发到忘了自己在发呆,Spaced out so hard I forgot I was spacing,none,0,,,normal
lazy_027,lazy,8,把今天的修炼额度花在了睡觉,Spent today's cultivation quota on sleep,none,0,,,normal
lazy_028,lazy,10,懒得动就用灵气挪了挪杯子,Too lazy to move so I nudged the cup with qi,none,0,,,normal
lazy_029,lazy,10,研究了半天蜗牛爬多快,Timed how fast a snail crawls,qi,2,,,normal
lazy_030,lazy,8,决定等灵感来了再修炼,Decided to wait for inspiration to cultivate,none,0,,,normal
lazy_031,lazy,10,把闲着也是闲着发挥到极致,Mastered the art of doing nothing,none,0,,,normal
lazy_032,lazy,10,看着香烧完才肯起身,Waited for the incense to burn out to move,none,0,,,normal
lazy_033,lazy,10,躺着躺着就到中午了,Lay around until it was suddenly noon,none,0,,,normal
lazy_034,lazy,10,把所有要做的事记下来然后不做,Listed all my chores then did none,none,0,,,normal
lazy_035,lazy,10,研究怎么用最少力气喝水,Figured out the laziest way to drink water,none,0,,,normal
lazy_036,lazy,8,决定先养精蓄锐三个时辰,Decided to conserve energy for six hours,qi,2,,,normal
lazy_037,lazy,10,把摸鱼写进了今日修行计划,Put slacking on today's cultivation plan,none,0,,,normal
lazy_038,lazy,10,数着房梁上的木纹打发时间,Counted the wood grain on the rafters,none,0,,,normal
lazy_039,lazy,10,懒洋洋地晒着太阳眯眼睛,Squinted lazily in the warm sun,qi,4,,,normal
lazy_040,lazy,12,把一颗瓜子嗑了半个时辰,Took an hour to crack one melon seed,none,0,,,normal
lazy_041,lazy,12,研究自己的影子能拉多长,Tested how long my shadow could stretch,none,0,,,normal
lazy_042,lazy,8,决定今天的目标是没有目标,Today's goal is to have no goals,none,0,,,normal
lazy_043,lazy,10,看蚂蚁打架看得津津有味,Watched ants fight with great interest,none,0,,,normal
lazy_044,lazy,10,把功法书当枕头睡了一觉,Used the manual as a pillow and napped,none,0,,,normal
lazy_045,lazy,10,躺平时想到了一个借口,Came up with an excuse while lying down,none,0,,,normal
lazy_046,lazy,8,研究了下怎么躺着也能修炼,Looked into cultivating while lying down,none,0,,,normal
lazy_047,lazy,8,决定让灵气自己慢慢长,Decided to let my qi grow on its own,none,0,,,normal
lazy_048,lazy,10,把发呆升级成了高级发呆,Upgraded spacing out to advanced spacing,qi,2,,,normal
lazy_049,lazy,10,看云看到脖子都酸了,Watched clouds till my neck got sore,none,0,,,normal
lazy_050,lazy,10,懒得起床干脆又睡了回去,Too lazy to rise so I went back to sleep,qi,3,,,normal
lazy_051,lazy,10,把今天的雄心壮志推到明天,Pushed today's ambitions to tomorrow,qi,2,,,normal
lazy_052,lazy,10,研究了一下午为什么天是蓝的,Wondered all day why the sky is blue,stone,1,,,normal
lazy_053,lazy,10,决定先躺会儿酝酿一下情绪,Lay down a while to set the mood first,qi,2,,,normal
lazy_054,lazy,10,把茶喝完了也懒得去添,Finished my tea too lazy to refill,none,0,,,normal
lazy_055,lazy,10,看着沙漏一粒粒地漏,Watched the sand fall grain by grain,qi,3,,,normal
lazy_056,lazy,8,懒散地哼着不成调的小曲,Hummed a tuneless little song,none,0,,,normal
lazy_057,lazy,8,研究怎么不动就把扇子扇起来,Tried fanning myself without moving,none,0,,,normal
lazy_058,lazy,10,决定把勤奋留给未来的自己,Left the diligence to my future self,qi,2,,,normal
lazy_059,lazy,10,躺在阴凉处数自己的呼吸,Counted my breaths in the cool shade,qi,3,,,normal
lazy_060,lazy,10,把闲适过成了一种修行,Turned idleness into a form of practice,none,0,,,normal
lazy_061,lazy,10,看落叶飘下来接住了一片,Caught a falling leaf out of the air,none,0,,,normal
lazy_062,lazy,10,懒得说话就用眼神交流,Too lazy to talk so I used my eyes,none,0,,,normal
lazy_063,lazy,10,研究了下怎么把懒发挥成天赋,Tried turning laziness into a talent,qi,3,,,normal
lazy_064,lazy,12,决定先打个盹再考虑努力,Decided to nap before considering effort,none,0,,,normal
lazy_065,lazy,10,把今天的修炼留到来世再说,Saved today's cultivation for the next life,none,0,,,normal
lazy_066,lazy,10,看着茶杯里的倒影出了神,Got lost in my reflection in the teacup,qi,2,,,normal
lazy_067,lazy,10,懒洋洋地翻了个身继续躺,Rolled over lazily and kept lying down,none,0,,,normal
lazy_068,lazy,12,研究怎么用脚趾捡东西,Practiced picking things up with my toes,none,0,,,normal
lazy_069,lazy,10,决定把整个下午献给发呆,Devoted the whole afternoon to spacing out,none,0,,,normal
lazy_070,lazy,8,把屋檐下的雨数了一遍,Counted the raindrops off the eaves,none,0,,,normal
lazy_071,lazy,10,懒得磨墨干脆用手指写字,Too lazy to grind ink so I wrote with a finger,none,0,,,normal
lazy_072,lazy,12,研究了一下午鞋带怎么打,Spent the day figuring out shoelaces,none,0,,,normal
lazy_073,lazy,10,决定让明天的自己去操心,Left it for tomorrow me to worry about,none,0,,,normal
lazy_074,lazy,8,把瞌睡当成了入定,Mistook drowsiness for deep trance,none,0,,,normal
lazy_075,lazy,10,看着炊烟发了好一阵呆,Stared at the chimney smoke a long while,qi,3,,,normal
lazy_076,lazy,8,懒散地把灵石抛着玩,Idly tossed a spirit stone up and down,none,0,,,normal
lazy_077,lazy,10,研究怎么躺着把活干了,Looked into doing chores while lying down,none,0,,,normal
lazy_078,lazy,12,决定先把这口气叹完再起床,Finished my sigh before getting up,none,0,,,normal
lazy_079,lazy,10,把无所事事过得有滋有味,Made doing nothing thoroughly enjoyable,none,0,,,normal
lazy_080,lazy,10,研究怎么把懒觉睡出境界,Tried to nap my way to enlightenment,none,0,,,normal
sleep_001,sleep,12,梦见自己飞升结果摔下床,Dreamed of ascending then fell out of bed,none,0,,,normal
sleep_002,sleep,10,睡得太香连打雷都没醒,Slept so soundly I missed the thunder,qi,2,,,normal
sleep_003,sleep,8,梦里渡劫现实里流口水,Crossed a heavenly tribulation in dreams drooling in reality,none,0,,,normal
sleep_004,sleep,10,抱着功法书睡了一整晚,Hugged the manual and slept all night,none,0,,,normal
sleep_005,sleep,10,梦见二狗也来修仙了,Dreamed Ergou took up cultivation too,none,0,,,normal
sleep_006,sleep,12,睡前数灵石数着数着睡着了,Counted spirit stones and drifted off,none,0,,,normal
sleep_007,sleep,12,梦里吃了一桌仙宴醒来更饿,Feasted in a dream and woke up hungrier,qi,4,,,normal
sleep_008,sleep,10,打了个盹梦见自己成仙了,Napped and dreamed I became immortal,qi,4,,,normal
sleep_009,sleep,10,睡姿奇特像在打坐,Slept in a pose oddly like meditation,qi,3,,,normal
sleep_010,sleep,10,梦见师父来考校功课吓醒了,Dreamed master quizzed me and woke in fright,none,0,,,normal
sleep_011,sleep,10,被自己的呼噜声吵醒了,Woke myself up with my own snoring,qi,2,,,normal
sleep_012,sleep,8,梦里飞来飞去醒来腰酸,Flew around in dreams woke up with a sore back,none,0,,,normal
sleep_013,sleep,12,睡得四仰八叉占满了整张床,Sprawled across the whole bed asleep,none,0,,,normal
sleep_014,sleep,8,梦见自己在云上盖了座房子,Dreamed of building a house on a cloud,none,0,,,normal
sleep_015,sleep,10,睡到自然醒感觉神清气爽,Woke naturally feeling refreshed,none,0,,,normal
sleep_016,sleep,12,梦里和仙鹤一起散步,Strolled with a crane in a dream,qi,3,,,normal
sleep_017,sleep,10,打盹时头一点一点像在悟道,Nodded off looking like deep contemplation,none,0,,,normal
sleep_018,sleep,8,梦见灵气多到用不完,Dreamed of endless spirit qi,qi,2,,,normal
sleep_019,sleep,10,睡前听着雨声很快入眠,Fell asleep fast to the sound of rain,qi,2,,,normal
sleep_020,sleep,12,梦见自己变成了一棵树,Dreamed I turned into a tree,qi,4,,,normal
sleep_021,sleep,10,睡迷糊了把枕头当成了灵宝,Half-asleep I clutched my pillow like a treasure,none,0,,,normal
sleep_022,sleep,12,梦里突破了醒来发现没有,Broke through in a dream but not for real,qi,2,,,normal
sleep_023,sleep,12,打了个长长的哈欠又睡了,Yawned hugely and went back to sleep,none,0,,,normal
sleep_024,sleep,10,梦见自己的洞府特别气派,Dreamed my cave dwelling was magnificent,qi,4,,,normal
sleep_025,sleep,12,睡着睡着把被子蹬到了地上,Kicked the blanket to the floor in sleep,qi,3,,,normal
sleep_026,sleep,12,梦里参悟了大道醒来全忘了,Grasped the Dao in a dream forgot it all,qi,4,,,normal
sleep_027,sleep,12,抱着暖炉睡得格外踏实,Slept soundly hugging the warm stove,qi,4,,,normal
sleep_028,sleep,10,梦见漫天星辰落进了怀里,Dreamed the stars fell into my arms,none,0,,,normal
sleep_029,sleep,12,睡前发了会儿呆就睡熟了,Spaced out a bit then fell deep asleep,qi,3,,,normal
sleep_030,sleep,10,梦里养了一只小灵兽,Raised a little spirit beast in a dream,none,0,,,normal
sleep_031,sleep,10,睡得太沉错过了日出,Slept through the sunrise entirely,none,0,,,normal
sleep_032,sleep,10,梦见自己在月亮上打坐,Dreamed of meditating on the moon,none,0,,,normal
sleep_033,sleep,8,打盹时嘴角挂着微笑,Napped with a small smile on my face,none,0,,,normal
sleep_034,sleep,10,梦里下了一场灵气雨,It rained spirit qi in my dream,none,0,,,normal
sleep_035,sleep,10,睡前想着明天一定努力,Fell asleep vowing to work hard tomorrow,none,0,,,normal
sleep_036,sleep,12,梦见故乡的小河和老屋,Dreamed of my hometown river and old house,qi,2,,,normal
sleep_037,sleep,12,睡着后被一个好梦逗笑,Laughed in my sleep at a happy dream,none,0,,,normal
sleep_038,sleep,10,梦里飞过了一整片云海,Flew over a whole sea of clouds in a dream,none,0,,,normal
sleep_039,sleep,8,打盹打到夕阳西下,Napped clear through to sunset,qi,3,,,normal
sleep_040,sleep,12,梦见自己终于不饿了,Dreamed I was finally not hungry,qi,4,,,normal
sleep_041,sleep,10,睡得安稳像个没事的人,Slept peacefully without a care,none,0,,,normal
sleep_042,sleep,12,梦里有人轻轻拍我的头,Someone gently patted my head in a dream,none,0,,,normal
sleep_043,sleep,10,睡前把烦恼都交给了明天,Handed all my worries to tomorrow before bed,qi,3,,,normal
sleep_044,sleep,10,梦见漫山遍野的灵草,Dreamed of spirit herbs covering the hills,none,0,,,normal
sleep_045,sleep,8,打了个盹精神好了一大半,A short nap and I felt half-renewed,none,0,,,normal
sleep_046,sleep,12,梦里听见了很温柔的歌声,Heard a gentle song in my dream,none,0,,,normal
sleep_047,sleep,10,睡得香甜连梦都是甜的,Slept sweetly even my dreams were sweet,qi,3,,,normal
sleep_048,sleep,8,梦见自己被一群灵兽围着玩,Dreamed of playing with a pack of spirit beasts,lifespan,1,,,normal
sleep_049,sleep,8,睡前给自己盖好了被子,Tucked myself in before sleep,qi,4,,,normal
sleep_050,sleep,12,梦里回到了刚开始修仙那天,Dreamed of the day I first began cultivating,none,0,,,normal
alchemy_001,alchemy,12,炼丹炉炸了脸熏得漆黑,The pill furnace blew up blackening my face,none,0,3,,normal
alchemy_002,alchemy,10,丹药炼成了但形状像番薯,Made a pill but it looked like a sweet potato,none,0,3,,normal
alchemy_003,alchemy,10,守着丹炉守了一整夜,Watched over the furnace all night long,none,0,3,,normal
alchemy_004,alchemy,12,第一次炼出了一锅灰,First attempt yielded a pot of ash,qi,4,3,,normal
alchemy_005,alchemy,12,丹香飘出去引来了野猫,The pill aroma lured in a stray cat,none,0,3,,normal
alchemy_006,alchemy,8,火候没掌握好丹废了,Botched the heat and ruined the batch,none,0,3,,normal
alchemy_007,alchemy,8,终于炼出一颗圆滚滚的丹,Finally made one nice round pill,qi,5,3,,normal
alchemy_008,alchemy,10,炼丹时灵草放多了苦得很,Used too many herbs and it turned bitter,stone,2,3,,normal
alchemy_009,alchemy,8,丹炉里突然蹦出个丹,A pill suddenly popped out of the furnace,qi,5,3,,normal
alchemy_010,alchemy,10,炼丹笔记记满了失败次数,My notes are full of failed attempts,qi,3,3,,normal
alchemy_011,alchemy,10,调配药材调到眼花缭乱,Sorting herbs until my eyes blurred,stone,3,3,,normal
alchemy_012,alchemy,12,炼出的丹掉地上找不到了,Dropped the pill and lost it on the floor,none,0,3,,normal
alchemy_013,alchemy,10,丹炉的火苗跳起了舞,The furnace flames danced merrily,qi,5,3,,normal
alchemy_014,alchemy,10,尝了口失败丹拉了一下午,Tasted a failed pill and paid for it all day,qi,4,3,,normal
alchemy_015,alchemy,8,终于摸到了一点炼丹门道,Finally got a feel for alchemy,none,0,3,,normal
alchemy_016,alchemy,10,炼丹时被烟呛得直咳嗽,Coughed hard from the alchemy smoke,qi,3,3,,normal
alchemy_017,alchemy,8,把灵草晒成了干草,Dried the spirit herbs into plain hay,none,0,3,,normal
alchemy_018,alchemy,12,丹成那刻高兴得跳了起来,Jumped for joy the moment the pill formed,stone,3,3,,normal
alchemy_019,alchemy,10,炼丹炉的温度怎么都不对,The furnace temperature just won't behave,none,0,3,,normal
alchemy_020,alchemy,10,研磨药材磨出了一身汗,Worked up a sweat grinding ingredients,none,0,3,,normal
alchemy_021,alchemy,10,丹炉冒出了五颜六色的烟,The furnace puffed rainbow-colored smoke,none,0,3,,normal
alchemy_022,alchemy,8,炼了半天才发现忘放主药,Realized too late I forgot the main herb,stone,3,3,,normal
alchemy_023,alchemy,8,丹药炼小了像颗芝麻,The pill came out tiny like a sesame seed,qi,5,3,,normal
alchemy_024,alchemy,12,守炉时打盹差点烧过头,Dozed at the furnace and nearly overcooked it,none,0,3,,normal
alchemy_025,alchemy,10,炼丹成功奖励自己歇一天,Made a pill and rewarded myself a day off,qi,3,3,,normal
alchemy_026,alchemy,12,药香太浓自己先醉了,The herb scent was so strong I got dizzy,none,0,3,,normal
alchemy_027,alchemy,12,把炉灰扫了好半天,Spent ages sweeping out the furnace ash,stone,1,3,,normal
alchemy_028,alchemy,12,炼出的丹滚到了桌子底下,The finished pill rolled under the table,stone,3,3,,normal
alchemy_029,alchemy,10,第一次控火控得有模有样,Controlled the flame decently for once,qi,4,3,,normal
alchemy_030,alchemy,10,丹炉发出咕嘟咕嘟的声音,The furnace gurgled away contentedly,qi,5,3,,normal
alchemy_031,alchemy,12,把炼废的丹串成了项链,Strung the failed pills into a necklace,qi,5,3,,normal
alchemy_032,alchemy,10,炼丹时哼着小曲很惬意,Hummed a tune while brewing quite content,qi,5,3,,normal
alchemy_033,alchemy,10,终于炼出了不苦的丹,Finally made a pill that wasn't bitter,none,0,3,,normal
alchemy_034,alchemy,10,药材配比试了无数次,Tried the herb ratios countless times,stone,1,3,,normal
alchemy_035,alchemy,12,丹炉旁边暖暖的很舒服,It was cozy and warm beside the furnace,stone,1,3,,normal
alchemy_036,alchemy,12,炼丹炼到忘了时辰,Lost all track of time at the furnace,qi,5,3,,normal
alchemy_037,alchemy,12,把一炉好丹分给了邻居,Shared a good batch with the neighbors,none,0,3,,normal
alchemy_038,alchemy,12,炼丹时回想起师父的叮嘱,Recalled master's advice while brewing,stone,1,3,,normal
alchemy_039,alchemy,10,丹成时窗外正好放晴,The sky cleared just as the pill formed,none,0,3,,normal
alchemy_040,alchemy,10,第一次闻到了真正的丹香,Smelled a truly fragrant pill for the first time,none,0,3,,normal
alchemy_041,alchemy,10,把炼丹当成了一种乐趣,Came to enjoy alchemy for its own sake,qi,5,3,,normal
alchemy_042,alchemy,12,丹炉炸了但人没事笑了笑,The furnace burst but I was fine and just laughed,none,0,3,,normal
alchemy_043,alchemy,12,研究药性研究到入了迷,Got absorbed studying herbal properties,qi,3,5,,normal
alchemy_044,alchemy,12,炼出的丹太硬咬不动,The pill came out too hard to bite,qi,4,3,,normal
alchemy_045,alchemy,10,守着小火慢慢炼很解压,Tending a low flame slowly was relaxing,qi,3,3,,normal
alchemy_046,alchemy,10,丹药终于有了点光泽,The pills finally have a faint sheen,none,0,5,,normal
alchemy_047,alchemy,10,把失败的经验记了满满一页,Filled a page with lessons from failure,none,0,5,,normal
alchemy_048,alchemy,10,炼丹时灵草的香气很治愈,The herb fragrance was soothing while brewing,qi,5,3,,normal
alchemy_049,alchemy,10,丹炉旁打了个温暖的盹,Took a warm nap beside the furnace,none,0,5,,normal
alchemy_050,alchemy,12,终于敢把丹给别人尝了,Finally brave enough to let others taste my pills,none,0,3,,normal
workout_001,workout,10,扎马步扎到腿打颤,Held a horse stance till my legs trembled,none,0,,,normal
workout_002,workout,10,举石锁举得龇牙咧嘴,Lifted the stone lock grimacing all the way,none,0,,,normal
workout_003,workout,10,跑山路跑得气喘吁吁,Ran the mountain trail panting hard,none,0,,,normal
workout_004,workout,12,打了五百遍同一个拳法,Threw the same punch five hundred times,none,0,,,normal
workout_005,workout,10,锻体锻到第二天起不来床,Trained so hard I couldn't get up next day,none,0,,,normal
workout_006,workout,10,对着木人桩练到手发麻,Hit the wooden dummy till my hands went numb,stone,1,,,normal
workout_007,workout,10,举着水桶站桩站了半天,Stood holding water buckets for ages,none,0,,,normal
workout_008,workout,8,练完功大汗淋漓很痛快,Drenched in sweat after training felt great,none,0,,,normal
workout_009,workout,10,劈柴当作了今天的锻体,Counted chopping wood as today's workout,qi,3,,,normal
