id,tier,chinese,english
35,rare,丹田深处忽然刮起一阵旋风，灵根揭晓。,A sudden whirlwind stirs deep within the dantian as the root is revealed.
36,rare,测定完毕，浑身竟隐隐传来雷鸣般的震动。,"The test concludes, and a faint thunder-like tremor resonates through the body."
37,rare,灵气测定的瞬间，丹田竟结出一层薄薄的霜。,"In the instant of testing, a thin layer of frost forms over the dantian."
38,rare,测定结果罕见，丹田内竟有风声不绝于耳。,A rare result — the sound of wind echoes endlessly within the dantian.
39,rare,灵根揭晓的刹那，浑身竟泛起淡淡的电光。,"In the moment the root is revealed, a faint electric glow flickers across the body."
40,rare,测定完毕，意外之喜涌上心头，竟是稀有灵根。,"The test concludes, and unexpected joy rises — a rare spiritual root, after all."
41,legendary,天地灵气骤然汇聚而来，竟是传说中的天灵根！,The world's spiritual qi suddenly converges in a torrent — the legendary Heavenly Root!
42,legendary,测定结果出现的瞬间，浑身竟有种被天地选中的错觉。,"The instant the result appears, an illusion sweeps over the body — as if chosen by heaven and earth itself."
43,legendary,丹田内灵气如潮水般汹涌，久久不息，天灵根降世。,The qi in the dantian surges like an unending tide — the Heavenly Root has manifested.
44,legendary,测定完毕，浑身竟久久无法平静，难以置信。,"The test concludes, yet the body remains unsettled for a long while, struggling to believe it."
45,legendary,天灵根测定而出的刹那，仿佛听见天地间一声轻叹。,"In the instant the Heavenly Root is confirmed, a faint sigh seems to echo across heaven and earth."
46,legendary,丹田内灵气浓郁得近乎凝实，前所未见。,The qi in the dantian grows so dense it almost solidifies — something never witnessed before.
47,legendary,测定结果令人怔住，半天才反应过来这是天灵根。,The result leaves the mind blank for a long moment before it sinks in — a Heavenly Root.
48,legendary,天灵根降临的瞬间，浑身泛起淡淡的金色光晕。,"In the moment the Heavenly Root arrives, a faint golden glow spreads across the body."
49,legendary,灵气测定完毕，丹田深处竟传来悠远的钟鸣。,"The qi test concludes, and a distant bell tolls deep within the dantian."
50,legendary,测定结果揭晓，浑身一震，竟是百万人难遇的天灵根。,"The result is revealed, and the body trembles — a Heavenly Root, one in a million."
