id,chain_id,step,next_id,realm,title_zh,title_en,desc_zh,desc_en,mood,cultivation_gain,stone_gain,weight
report_023,oldman,3,,,老人传功,The Old Man's Gift,老人传你一篇心法后飘然离去,He passed you a technique and drifted away,happy,40,5,6
report_024,egg,1,report_025,,捡到一颗蛋,Found an Egg,在草丛里捡到一颗温热的蛋,Found a warm egg in the grass,normal,0,0,6
report_025,egg,2,report_026,,孵蛋中,Hatching the Egg,你把蛋揣在怀里暖了好几天,You kept the egg warm for days,happy,0,0,6
report_026,egg,3,,武者,灵兽出壳,The Beast Hatches,蛋里钻出一只毛茸茸的小灵兽,A fluffy little spirit beast hatched out,happy,10,8,6
report_027,trial,1,report_028,先天,乌云压顶,Gathering Storm,天边乌云翻涌似有雷劫,Dark clouds churned as if a tribulation neared,confused,0,0,5
report_028,trial,2,,先天,有惊无险,A Close Call,雷劫只劈了棵树虚惊一场,The lightning hit a tree — a false alarm,happy,30,0,5
report_029,,1,,,想家了,Homesick,夜里忽然想起了故乡的炊烟,Suddenly missed the chimney smoke of home tonight,normal,6,0,8
report_030,,1,,,小狗依偎,A Dog's Company,一只流浪狗靠着你睡了一夜,A stray dog slept curled against you all night,happy,4,0,8
report_031,,1,,,看花开,Watching Flowers Bloom,看着院里的花一朵朵开了,Watched the courtyard flowers bloom one by one,happy,8,0,8
report_032,,1,,,教孩童识字,Teaching a Child,给村里娃娃教了一下午认字,Spent an afternoon teaching village kids to read,happy,5,2,8
report_033,,1,,,雪夜围炉,Snowy Night by the Fire,下雪天围着炉子烤红薯,Roasted sweet potatoes by the fire on a snowy night,happy,6,0,8
report_034,,1,,,锻体明心,"Train the Body, Clear the Mind",清晨对着院子打了一套拳法,Ran through a set of forms in the courtyard at dawn,workout,9,0,9
report_035,,1,,,举石练力,Lifting Stones,搬了院里的大石头练力气,Hauled the big stone in the yard to build strength,workout,7,1,8
report_036,,1,,武者,以拳会友,A Friendly Spar,和路过的武者切磋了几招,Traded a few blows with a passing martial artist,workout,14,0,7
report_037,,1,,,晨跑入山,Morning Run Into the Hills,沿着山路跑了一个来回,Ran a loop along the mountain trail,workout,6,0,9
report_038,,1,,,扎马步,Standing Stance Practice,蹲马步蹲到腿都在抖,Held a horse stance until the legs shook,workout,8,0,8
report_039,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼3小时。
发呆8小时。
成果：无。","Cultivated for 3 hours.
Stared into space for 8 hours.
Result: nothing.",normal,2,0,8
report_040,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日尝试突破。
结果：天道不同意。","Attempted a breakthrough today.
Result: heaven's will said no.",confused,4,0,7
report_041,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日炼丹。
炸炉一次。
进步明显。","Tried alchemy today.
Blew up the furnace once.
Clear progress.",alchemy,2,1,6
report_042,,1,,,今日修仙日报,Today's Cultivation Report,"今日睡觉12小时。
修为毫无变化。
符合预期。","Slept for 12 hours today.
Cultivation: unchanged.
As expected.",sleepy,10,0,6
report_043,,1,,,今日修仙日报,Today's Cultivation Report,"今日感悟人生。
感悟失败。","Tried to reflect on life today.
The reflection failed.",confused,1,0,7
report_044,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐入定。
中途睡着。
算是入定了。","Sat down to meditate today.
Fell asleep halfway through.
Technically still meditating.",sleepy,4,1,10
report_045,,1,,,今日修仙日报,Today's Cultivation Report,"今日扎马步。
腿抖到现在。
疑似有效。","Practiced the horse stance today.
Legs still shaking.
Possibly working.",workout,1,1,7
report_046,,1,,,今日修仙日报,Today's Cultivation Report,"今日研读功法。
看了三页。
睡着两页。","Studied a cultivation manual today.
Read three pages.
Slept through two of them.",confused,9,0,7
report_047,,1,,,今日修仙日报,Today's Cultivation Report,"今日下山买菜。
顺便修了个心。
菜忘了买。","Went down the mountain for groceries.
Did some soul-searching on the way.
Forgot the groceries.",normal,8,2,8
report_048,,1,,,今日修仙日报,Today's Cultivation Report,"今日观想天地。
天地没理我。","Tried to commune with heaven and earth today.
Heaven and earth ignored me.",confused,1,0,9
report_049,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼五分钟。
刷手机两小时。
比例合理。","Cultivated for five minutes today.
Scrolled my phone for two hours.
Seems like a fair ratio.",lazy,6,0,7
report_050,,1,,,今日修仙日报,Today's Cultivation Report,"今日闭关。
闭着，没关。","Went into seclusion today.
Eyes closed, door wasn't.",confused,4,0,6
report_051,,1,,,今日修仙日报,Today's Cultivation Report,"今日挑战极限。
极限没动，我先躺了。","Tried to push my limits today.
The limits stayed put. I lay down first.",confused,2,0,6
report_052,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日参悟剑意。
剑没动，我开始反思人生。","Tried to grasp sword intent today.
The sword stayed still. I started questioning my life choices.",meditate,6,0,10
report_053,,1,,,今日修仙日报,Today's Cultivation Report,"今日喝了一碗灵汤。
味道一般，灵气没感觉到。","Drank a bowl of spirit soup today.
Tasted average. Felt no qi whatsoever.",normal,5,0,9
report_054,,1,,,今日修仙日报,Today's Cultivation Report,"今日练拳。
拳头疼了，对手没找到。","Practiced boxing forms today.
My fists hurt. Never found an opponent.",workout,9,0,9
report_055,,1,,,今日修仙日报,Today's Cultivation Report,"今日数灵石。
数到一半忘了数到哪。
重新数。","Counted my spirit stones today.
Lost count halfway through.
Started over.",confused,2,1,8
report_056,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼有成。
成的是体重。","Made progress in cultivation today.
The progress was in body weight.",confused,10,0,10
report_057,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日清扫洞府。
灰尘没扫干净，先躺下了。","Cleaned the cave dwelling today.
Didn't finish. Lay down instead.",lazy,4,0,6
report_058,,1,,,今日修仙日报,Today's Cultivation Report,"今日望天发愁。
愁的不是天道，是晚饭。","Stared at the sky and worried today.
Wasn't worried about heaven's will. Worried about dinner.",normal,4,0,6
report_059,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼内功。
内功没涨，内耗倒是涨了。","Trained inner cultivation today.
Inner strength didn't grow. Inner anxiety did.",confused,4,0,9
report_060,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐感悟天机。
天机未泄，腿先麻了。","Meditated to sense heaven's secrets today.
Heaven kept its secrets. My legs fell asleep first.",confused,5,1,8
report_061,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼如山。
如山不动，我也不动。","Cultivated like a mountain today.
The mountain didn't move. Neither did I.",lazy,3,0,8
report_062,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日想突破自我。
自我没突破，午觉先突破了。","Tried to surpass myself today.
Self stayed the same. The nap broke through instead.",sleepy,4,0,6
report_063,,1,,先天,今日修仙日报,Today's Cultivation Report,"今日炼气有成。
气没炼好，倒是攒了一肚子。","Worked on refining qi today.
Qi didn't refine. Gas accumulated instead.",confused,10,0,10
report_064,,1,,,今日修仙日报,Today's Cultivation Report,"今日苦修不辍。
不辍的其实是发呆。","Cultivated tirelessly today.
What was tireless was actually the staring into space.",lazy,4,0,9
report_065,,1,,,今日修仙日报,Today's Cultivation Report,"今日参禅悟道。
悟到中午该吃什么了。","Sat in zen contemplation today.
Realized what to eat for lunch.",confused,7,0,10
report_066,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼真气。
真气没成，真累了。","Trained true qi today.
True qi didn't form. True exhaustion did.",lazy,4,0,6
report_067,,1,,,今日修仙日报,Today's Cultivation Report,"今日观星悟道。
星星很亮，道理没懂。","Studied the stars for insight today.
The stars were bright. The insight wasn't.",confused,4,0,8
report_068,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日修炼有所突破。
突破的是今天的睡眠记录。","Made a breakthrough today.
The breakthrough was in today's sleep record.",sleepy,7,0,6
report_069,,1,,,今日修仙日报,Today's Cultivation Report,"今日苦练身法。
身法没练成，先扭了腰。","Trained agility techniques today.
Technique didn't form. Tweaked my back instead.",workout,4,2,8
report_070,,1,,,今日修仙日报,Today's Cultivation Report,"今日推演功法。
推演了一半，忘了下一步。","Worked through a technique manual today.
Got halfway through, forgot the next step.",confused,4,1,9
report_071,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日炼丹有成。
成的是一炉黑炭。","Made progress in alchemy today.
The progress was a furnace full of charcoal.",alchemy,8,0,8
report_072,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，灵气稀薄。
稀薄的其实是我的耐心。","Cultivated today, qi was thin.
What was actually thin was my patience.",confused,3,0,10
report_073,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐三个时辰。
睡了两个半。","Meditated for three hours today.
Slept through two and a half.",sleepy,9,0,10
report_074,,1,,,今日修仙日报,Today's Cultivation Report,"今日苦思破境之法。
想出了一个，但忘了。","Pondered ways to break through today.
Came up with one. Then forgot it.",confused,7,2,9
report_075,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，进展神速。
神速指的是睡着的速度。","Cultivation progressed rapidly today.
Rapidly referred to how fast I fell asleep.",sleepy,6,0,7
report_076,,1,,,今日修仙日报,Today's Cultivation Report,"今日炼体。
体没炼成，倒是出了一身汗。","Trained the body today.
Body didn't change. Sweated a lot though.",workout,9,1,6
report_077,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，心如止水。
止水原因是真的没动。","Cultivated with a calm heart today.
The calm was because nothing actually happened.",lazy,1,0,7
report_078,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日炼丹失败。
但闻起来还挺香。","Alchemy attempt failed today.
Smelled pretty good though.",alchemy,3,0,10
report_079,,1,,,今日修仙日报,Today's Cultivation Report,"今日苦修，灵台清明。
清明到忘了自己在修什么。","Cultivated with a clear mind today.
So clear I forgot what I was cultivating.",confused,2,0,9
report_080,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼一整天。
一整天主要是吃饭和睡觉。","Cultivated all day today.
Mostly consisted of eating and sleeping.",lazy,10,1,10
report_081,,1,,,今日修仙日报,Today's Cultivation Report,"今日感悟天道。
天道沉默，我自言自语。","Tried to commune with heaven's will today.
Heaven stayed silent. I talked to myself instead.",confused,5,1,6
report_082,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼颇有心得。
心得是：明天再说。","Gained some insight while cultivating today.
The insight was: I'll deal with it tomorrow.",lazy,2,1,8
report_083,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，灵感如泉涌。
泉涌完就枯竭了。","Inspiration flowed like a spring today.
Then the spring ran dry immediately.",confused,6,0,8
report_084,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，状态极佳。
极佳到没起床。","Cultivation condition was excellent today.
So excellent I never got out of bed.",lazy,7,0,9
report_085,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日观摩同门修炼。
观摩完更想睡了。","Watched fellow disciples cultivate today.
Watching made me want to nap more.",sleepy,1,0,10
report_086,,1,,,今日修仙日报,Today's Cultivation Report,"今日苦修十二时辰。
十二时辰里十一个在摆烂。","Cultivated for twelve hours today.
Eleven of them were spent slacking off.",lazy,3,1,6
report_087,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日终有突破。
突破的是今天摆烂的记录。","Finally had a breakthrough today.
The breakthrough was today's new slacking record.",lazy,5,1,10
report_088,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，自我感觉良好。
别人没什么感觉。","Felt good about my cultivation today.
Nobody else noticed any difference.",confused,4,0,8
report_089,,1,,,今日修仙日报,Today's Cultivation Report,"今日反思过去十年。
结论：白活了。","Reflected on the past decade today.
Conclusion: wasted.",confused,3,1,10
report_090,,1,,,今日修仙日报,Today's Cultivation Report,"今日立志做个不一样的修士。
明天还是老样子。","Vowed to be a different cultivator today.
Tomorrow will be the same as always.",confused,1,2,8
report_091,,1,,,今日修仙日报,Today's Cultivation Report,今日总结：活着，但没怎么活明白。,"Today's summary: alive, but not particularly enlightened.",meditate,8,0,6
report_092,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日突破失败。
天道：意料之中。","Breakthrough failed today.
Heaven's will: expected.",confused,6,0,7
report_093,,1,,,今日修仙日报,Today's Cultivation Report,"今日反省。
反省到一半睡着了。
明天继续反省。","Did some self-reflection today.
Fell asleep halfway through.
Will continue tomorrow.",sleepy,1,0,10
report_094,,1,,,今日修仙日报,Today's Cultivation Report,今日感悟：修仙路漫漫，摆烂路更长。,"Today's realization: the cultivation path is long, the slacking path is longer.",lazy,2,0,9
report_095,,1,,,今日修仙日报,Today's Cultivation Report,"今日决定戒掉摆烂。
然后摆烂了一整天。","Decided to quit slacking today.
Then slacked off all day.",confused,2,1,7
report_096,,1,,,今日修仙日报,Today's Cultivation Report,"今日明白了一个道理。
但忘了是什么道理。","Understood an important truth today.
Forgot what it was.",confused,3,1,10
report_097,,1,,,今日修仙日报,Today's Cultivation Report,"今日重新审视人生。
人生没什么变化。","Re-examined my life today.
Life didn't change much.",meditate,3,0,10
report_098,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日突破失败，寿元减少。
倒是没那么焦虑了。","Failed a breakthrough today, lost some lifespan.
Strangely less anxious about it now.",meditate,10,0,7
report_099,,1,,,今日修仙日报,Today's Cultivation Report,今日想通了一件事：修不修仙都得吃饭。,"Realized something important today: whether you cultivate or not, you still gotta eat.",normal,9,0,8
report_100,,1,,,今日修仙日报,Today's Cultivation Report,"今日给自己定了个小目标。
目标已经推到明天了。","Set a small goal for myself today.
Already pushed it to tomorrow.",lazy,7,0,9
report_101,,1,,,今日修仙日报,Today's Cultivation Report,今日修炼，悟出一个真理：努力不一定有用。,Cultivated today and grasped a truth: effort doesn't always work.,confused,9,1,6
report_102,,1,,,今日修仙日报,Today's Cultivation Report,"今日想起了上一世。
上一世好像也没干成什么事。","Recalled my previous life today.
Don't think I accomplished much then either.",confused,4,0,6
report_103,,1,,,今日修仙日报,Today's Cultivation Report,今日感悟：天道无情，但请假应该批的。,"Today's insight: heaven's will is merciless, but it should still approve my day off.",confused,6,0,10
report_104,,1,,,今日修仙日报,Today's Cultivation Report,今日修炼，悟出长生不一定快乐。,Cultivated today and realized immortality isn't necessarily happiness.,meditate,9,0,10
report_105,,1,,,今日修仙日报,Today's Cultivation Report,"今日反思：寿元没了才知道珍惜。
但好像晚了。",Reflected today: only when lifespan runs low do you learn to cherish it. Bit late though.,meditate,4,0,6
report_106,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日决定不再纠结突破失败。
明天还是会纠结。","Decided to stop dwelling on failed breakthroughs.
Will probably dwell on it again tomorrow.",confused,1,0,6
report_107,,1,,,今日修仙日报,Today's Cultivation Report,今日感悟：轮回这么多次，活明白的次数为零。,"Today's insight: this many reincarnations, zero times truly understood.",confused,1,0,6
report_108,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日修炼，忽然觉得人生没那么难。
然后又突破失败了。","Cultivated today, suddenly felt life wasn't so hard.
Then failed a breakthrough right after.",confused,9,0,8
report_109,,1,,,今日修仙日报,Today's Cultivation Report,今日想了很多，决定了什么都不做。,"Thought about a lot today, decided to do nothing.",lazy,8,0,10
report_110,,1,,武者,今日修仙日报,Today's Cultivation Report,今日感悟：人生苦短，丹药管饱。,"Today's insight: life is short, but pills are filling.",confused,3,2,10
report_111,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，想起了死去的上一世。
然后接着摆烂。","Cultivated today, thought of my deceased past life.
Then kept slacking off.",confused,8,0,9
report_112,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日终于想开了：不突破也能活。
就是活得久一点而已。","Finally let it go today: you can live without breaking through.
Just means living a bit longer, that's all.",meditate,7,0,6
report_113,,1,,,今日修仙日报,Today's Cultivation Report,"今日决定坦然面对失败。
然后哭了一下。","Decided to face failure calmly today.
Then cried a little.",confused,2,0,8
report_114,,1,,武者,今日修仙日报,Today's Cultivation Report,今日感悟：天劫劈下来那一刻，什么道理都没用。,"Today's insight: the moment tribulation strikes, none of the wisdom helps.",confused,7,0,9
report_115,,1,,,今日修仙日报,Today's Cultivation Report,今日修炼，悟出修仙也是种打工。,Cultivated today and realized cultivation is just another job.,confused,1,0,6
report_116,,1,,,今日修仙日报,Today's Cultivation Report,"今日决定看淡一切。
然后为灵石的事又焦虑了。","Decided to let go of everything today.
Then got anxious about spirit stones again.",confused,7,0,6
report_117,,1,,,今日修仙日报,Today's Cultivation Report,今日感悟：摆烂久了，连天道都不来烦我了。,"Today's insight: after enough slacking, even heaven's will stopped bothering me.",lazy,4,0,7
report_118,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日反思：突破失败不可怕，可怕的是没尝试。
但今天也没尝试。","Reflected today: failure isn't scary, not trying is. Didn't try today either.",confused,9,1,7
report_119,,1,,,今日修仙日报,Today's Cultivation Report,"今日终于理解了什么叫心如止水。
因为我真的什么都没做。","Finally understood what calm as still water means today.
Because I genuinely did nothing.",lazy,7,0,8
report_120,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，想起自己已经死过好几次。
还是没想明白活着图什么。","Cultivated today, remembered I've died several times.
Still haven't figured out what living is for.",meditate,8,0,6
report_121,,1,,,今日修仙日报,Today's Cultivation Report,"今日决定不内耗。
内耗了一整天关于要不要内耗。","Decided not to overthink today.
Spent the whole day overthinking whether to overthink.",confused,8,1,6
report_122,,1,,,今日修仙日报,Today's Cultivation Report,今日感悟：修炼到最后，大家拼的都是心态。,"Today's insight: in the end, cultivation is really a battle of mindset.",meditate,1,1,6
report_123,,1,,,今日修仙日报,Today's Cultivation Report,今日明白了：寿元和余额一样，越花越没有。,"Realized today: lifespan is like a bank balance, the more you spend, the less you have.",confused,2,0,7
report_124,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，想起小时候的梦想。
现在已经不记得是什么梦想了。","Cultivated today, recalled a childhood dream.
Can't remember what it was anymore.",meditate,7,1,9
report_125,,1,,武者,今日修仙日报,Today's Cultivation Report,今日感悟：人这一生，至少要炸一次炉。,"Today's insight: in life, you should blow up at least one furnace.",alchemy,4,0,6
report_126,,1,,,今日修仙日报,Today's Cultivation Report,今日想清楚了：摆烂和修炼，本质上是一种平衡。,"Figured it out today: slacking and cultivating are, in essence, a balance.",lazy,3,0,6
report_127,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日突破失败。
但我已经不哭了，进步明显。","Failed a breakthrough today.
But I didn't cry this time. Clear progress.",meditate,7,0,9
report_128,,1,,,今日修仙日报,Today's Cultivation Report,今日感悟：所谓天道，可能也是临时工。,Today's insight: heaven's will might just be a temp worker too.,confused,5,0,10
report_129,,1,,,今日修仙日报,Today's Cultivation Report,"今日决定原谅自己今天没修炼。
明天大概也会原谅。","Decided to forgive myself for not cultivating today.
Will probably forgive myself tomorrow too.",lazy,8,0,7
report_130,,1,,,今日修仙日报,Today's Cultivation Report,"今日想到一句话：活着已经很不容易了。
然后接着躺着。","Thought of a line today: just being alive is hard enough.
Then kept lying down.",lazy,5,0,6
report_131,,1,,武者,今日修仙日报,Today's Cultivation Report,今日感悟：突破失败的人，明天还是要吃饭的。,Today's insight: even those who fail breakthroughs still need to eat tomorrow.,normal,10,1,6
report_132,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，想起这是第N次转世。
没数清具体是第几次。","Cultivated today, remembered this is reincarnation number N.
Lost count of the exact number.",confused,6,0,6
report_133,,1,,,今日修仙日报,Today's Cultivation Report,"今日决定不再跟自己较劲。
较劲到现在还在较劲。","Decided to stop fighting myself today.
Still fighting myself as of now.",confused,10,1,10
report_134,,1,,,今日修仙日报,Today's Cultivation Report,今日感悟：寿元用完那天，希望我至少吃饱了。,"Today's insight: on the day my lifespan runs out, I hope at least I'm well-fed.",meditate,9,0,6
report_135,,1,,,今日修仙日报,Today's Cultivation Report,"今日想通：修炼是为了活得久，摆烂是为了活得好。
两者居然不矛盾。","Figured out today: cultivation is for living long, slacking is for living well. Turns out they're not contradictory.",lazy,9,0,7
report_136,,1,,武者,今日修仙日报,Today's Cultivation Report,今日感悟：突破失败这么多次，已经有了抗体。,"Today's insight: failed so many breakthroughs, I've built up an immunity.",confused,2,2,6
report_137,,1,,,今日修仙日报,Today's Cultivation Report,"今日决定坦然接受平庸。
然后默默期待奇迹。","Decided to accept mediocrity calmly today.
Then quietly hoped for a miracle anyway.",confused,4,0,6
report_138,,1,,,今日修仙日报,Today's Cultivation Report,今日修炼，悟出一句话：活着，已经是种修行了。,Cultivated today and arrived at a thought: simply being alive is already a form of cultivation.,meditate,10,0,10
report_139,,1,,武者,今日修仙日报,Today's Cultivation Report,今日想起：寿元短，但丹药管饱，勉强算公平。,"Recalled today: lifespan is short, but the pills are filling. Roughly fair, I guess.",confused,10,0,10
report_140,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日炼丹时走神。
炼出来的不知道是丹还是石头。","Zoned out while making pills today.
Not sure if what came out was a pill or a rock.",alchemy,2,0,10
report_141,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐，邻居家鸡飞进了院子。
打坐结束，鸡还在。","Meditated today. The neighbor's chicken flew into the yard.
Meditation ended. The chicken stayed.",confused,10,1,8
report_142,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，走火入魔了一下。
然后又走出来了。","Briefly slipped into a qi deviation today.
Then slipped right back out.",confused,5,0,8
report_143,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日突破时打了个喷嚏。
境界没涨，喷嚏挺响。","Sneezed during a breakthrough attempt today.
Realm didn't rise. The sneeze was impressively loud.",confused,4,0,9
report_144,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，灵气突然消失了五秒。
然后又回来了，没人能解释。","Qi vanished for five seconds today.
Then it came back. Nobody can explain it.",confused,3,0,9
report_145,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐，闻到隔壁炖肉的味道。
修炼直接结束。","Meditated today, smelled stew from next door.
Meditation ended immediately.",confused,6,0,6
report_146,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日炼丹，加错了一种材料。
丹炉表示很意外。","Added the wrong ingredient during alchemy today.
The furnace seemed genuinely surprised.",alchemy,8,2,10
report_147,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，灵根突然震了一下。
事后查无原因。","Spiritual root suddenly trembled during cultivation today.
No cause found afterward.",confused,2,0,10
report_148,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日突破，雷劫劈中了旁边的树。
我毫发无伤，树没了。","Tribulation lightning struck the nearby tree during my breakthrough today.
I'm unscathed. The tree isn't.",confused,4,1,8
report_149,,1,,武者,今日修仙日报,Today's Cultivation Report,今日修炼，差点突破，被一只蝴蝶打断了。,"Almost broke through today, interrupted by a butterfly.",confused,3,0,6
report_150,,1,,武者,今日修仙日报,Today's Cultivation Report,今日炼丹炸炉，炸出了隔壁的猫。,"Furnace exploded during alchemy today, somehow flushed out the neighbor's cat.",alchemy,4,0,8
report_151,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐，灵气突然变得格外浓郁。
浓郁了十秒，然后恢复正常。","Qi suddenly became unusually dense during meditation today.
Lasted ten seconds, then back to normal.",confused,3,1,10
report_152,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日修炼，丹田发热，以为要突破。
结果是吃多了上火。","Dantian felt hot today, thought I was about to break through.
Turned out I just ate too much spicy food.",confused,5,2,10
report_153,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日炼丹，配方抄错了一行。
炼出来的东西暂时无法命名。","Misread a line in the recipe during alchemy today.
Whatever came out can't be named yet.",alchemy,1,1,8
report_154,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，感觉天地都在注视我。
后来发现是只乌鸦。","Felt like heaven and earth were watching me today.
Turned out it was just a crow.",confused,2,0,8
report_155,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐，突然顿悟。
顿悟内容是该剪指甲了。","Had a sudden epiphany while meditating today.
The epiphany was that I need to cut my nails.",confused,2,0,10
report_156,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，灵气波动剧烈。
后来发现是隔壁在放炮。","Qi fluctuated wildly during cultivation today.
Turned out the neighbors were setting off firecrackers.",confused,3,0,8
report_157,,1,,武者,今日修仙日报,Today's Cultivation Report,"今日炼丹，炉子莫名其妙自己灭了。
原因不明，丹倒是没炸。","Furnace mysteriously went out on its own today.
Cause unknown. At least the pill didn't explode.",alchemy,10,0,8
report_158,,1,,,今日修仙日报,Today's Cultivation Report,"今日修炼，突然有种被注视的感觉。
回头一看，是自己的影子。","Suddenly felt watched during cultivation today.
Turned around — it was my own shadow.",confused,4,0,10
report_159,,1,,,今日修仙日报,Today's Cultivation Report,"今日打坐，灵识忽然飘远了。
飘到了隔壁村，看了会儿热闹。","Spiritual sense drifted far away during meditation today.
Drifted to the next village, watched some drama unfold.",confused,8,0,6
