id,type,weight,title_zh,title_en,animation
death_096,normal,7,被妖兽所杀,Killed by a demonic beast,death_old
death_097,normal,8,修炼走偏伤了元气,Cultivated incorrectly and damaged his vital essence,death_old
death_098,normal,9,丹毒攻心,Pill toxins overwhelmed his heart,death_old
death_099,normal,7,被同道暗算,Ambushed by a rival cultivator,death_old
death_100,normal,8,灵脉枯竭而亡,Died as his spiritual veins ran dry,death_old
death_101,normal,9,逆天改命失败,Failed an attempt to defy fate,death_old
death_102,normal,7,遭遇山洪意外,Killed in an unexpected mountain flood,death_old
death_103,normal,8,旧伤复发不治,Succumbed to a recurring old injury,death_old
death_104,normal,9,心境崩溃自损道行,Mental collapse damaged his own cultivation beyond saving,death_old
death_105,normal,7,误入禁地重伤而亡,Wandered into a forbidden zone and died of his wounds,death_old
death_106,normal,8,为护道侣身死,Died protecting a loved one,death_old
death_107,normal,9,气血枯竭,Blood and qi ran completely dry,death_old
death_108,normal,7,遭逢瘟疫,Succumbed to a plague,death_old
death_109,normal,8,寒冬冻毙山中,Froze to death in the mountains during winter,death_old
death_110,normal,9,修为反噬走火入魔身死,Qi deviation from a backfiring cultivation proved fatal,death_explosion
death_111,legendary,1,盯着自己的灵根看到灵根消失,Stared at his own spiritual root until it vanished,death_old
death_112,legendary,1,在天劫中突然顿悟笑死自己,Had a sudden epiphany mid-tribulation and laughed himself to death,death_tribulation
death_113,legendary,1,把自己炼成了一颗丹药,Accidentally alchemized himself into a pill,death_old
death_114,legendary,1,被自己未来的转世揍了一拳,Punched by his own future reincarnation,death_old
death_115,legendary,1,修炼到把自己修没了,Cultivated so hard he cultivated himself out of existence,death_old
death_116,legendary,1,和天道辩论输了被气死,Lost a debate with heaven's will and died of frustration,death_old
death_117,legendary,1,渡劫时被自己的弹幕淹死,Drowned in his own stream of internal monologue during tribulation,death_tribulation
death_118,legendary,1,看穿了世界的真相后无聊到死,Saw through the truth of the world and died of boredom,death_old
death_119,legendary,1,被自己上一世的鬼魂气死,Haunted and enraged to death by his own previous incarnation's ghost,death_old
death_120,legendary,1,在轮回的尽头找到了答案然后忘记了,"Found the answer at the end of reincarnation, then immediately forgot it",death_old
