ID,TextZh,TextEn
intro_reinc_024,修为归零不可怕。\n可怕的是。\n坏习惯也继承了。,Reset cultivation is not scary.\nWhat is scary:\nbad habits were inherited too.
intro_reinc_025,前世也许是天命。\n这一世可能是补考。,The last life may have been destiny.\nThis life might be the retake exam.
intro_reinc_026,{name}不记得所有事。\n但身体记得。\n尤其记得被雷劈的方向。,{name} doesn't remember everything.\nThe body remembers.\nEspecially the direction lightning came from.
intro_reinc_027,这一世的{name}。\n开局依然普通。\n但眼神里多了一点：\n我又来了。,"This life, {name} still starts ordinary.\nBut the eyes say one thing:\nI'm back."
intro_reinc_028,轮回不是作弊。\n轮回是天道给的超长试用期。,Reincarnation isn't cheating.\nIt's heaven's extended free trial.
intro_reinc_029,上一世走错的路。\n这一世应该能避开。\n前提是{name}记得哪条是错的。,The wrong path from last life should be avoidable.\nAssuming {name} remembers which one it was.
intro_reinc_030,{name}决定吸取教训。\n第一条教训：\n不要太相信自己的决定。,{name} decides to learn from the past.\nLesson one:\ndo not trust {name}'s own decisions too much.
intro_reinc_031,第{life}世的风。\n吹过熟悉的桌面。\n{name}感觉这地方有点眼熟。,The wind of life {life} blows across the familiar desktop.\n{name} feels this place looks suspiciously familiar.
intro_reinc_032,前世没能飞升。\n这一世至少要飞得高一点。\n哪怕只是被炸飞。,The last life did not ascend.\nThis life should fly higher.\nEven if launched by an explosion.
intro_reinc_033,{name}醒来时只有一个念头：\n这次不要死得太有创意。,"When {name} woke up, one thought appeared:\ntry not to die too creatively this time."
intro_reinc_034,轮回后，世界还是那个世界。\n{name}还是那个{name}。\n但失败经验增加了。,"After reincarnation, the world is still the same.\n{name} is still {name}.\nBut failure experience has increased."
intro_reinc_035,上一世的称号已经过去。\n这一世的黑历史正在加载。,The last title is gone.\nThis life's embarrassing history is loading.
intro_reinc_036,{name}觉得自己应该成熟了。\n然后决定先睡一觉冷静一下。,{name} feels more mature now.\nThen decides to nap and calm down.
intro_reinc_037,第{life}世。\n修仙路重新开始。\n唯一确定的是：\n天道还没放过他。,Life {life}.\nThe cultivation road begins again.\nOne thing is certain:\nheaven is not done with {name}.
intro_reinc_038,有些错误犯一次叫年轻。\n犯很多次叫轮回。,Making a mistake once is youth.\nMaking it many times is reincarnation.
intro_reinc_039,{name}带着微弱的前世感悟醒来。\n感悟内容：\n活着真好。,{name} wakes with faint past-life insight.\nThe insight says:\nbeing alive is nice.
intro_reinc_040,这一世不求一步登天。\n先求一步别踩坑。,This life does not need instant ascension.\nFirst goal: don't step into the pit.
intro_reinc_041,上一世的终点。\n变成这一世的开头。\n听起来很励志。\n做起来很累。,The last ending becomes this beginning.\nSounds inspiring.\nFeels exhausting.
intro_reinc_042,{name}又站在起点。\n这次不算新手。\n顶多算熟练新手。,{name} stands at the starting line again.\nNot a beginner this time.\nMore like an experienced beginner.
intro_reinc_043,轮回给了{name}一个机会。\n也给了天道一个机会。\n继续看笑话。,Reincarnation gives {name} another chance.\nIt also gives heaven another chance\nto watch the comedy continue.
intro_reinc_044,前世修到哪里不重要。\n重要的是。\n这一世还能不能超过昨天的自己。,How far the last life reached is not everything.\nWhat matters is whether this life can surpass yesterday's self.
intro_reinc_045,{name}决定这次稳一点。\n不乱吃丹。\n不乱渡劫。\n不乱相信自己。,{name} decides to play safer this time.\nNo random pills.\nNo random tribulations.\nNo random trust in self.
intro_reinc_046,第{life}世的目标：\n比上一世多活一年。\n听起来不难。\n但{name}不敢保证。,Goal for life {life}:\nlive one year longer than last time.\nSounds easy.\n{name} makes no promises.
intro_reinc_047,死亡不是失败。\n只是修仙系统的重启按钮。\n按钮有点疼。,Death is not failure.\nIt is the restart button of cultivation.\nThe button hurts a little.
intro_reinc_048,{name}带着一点点加成回来。\n虽然不多。\n但心理安慰很足。,{name} returns with a tiny bonus.\nNot much.\nBut the emotional support is strong.
intro_reinc_049,这一次。\n{name}会不会改写命运？\n不知道。\n但至少又可以试一次。,"This time, will {name} rewrite fate?\nUnknown.\nBut at least there is another try."
intro_reinc_050,就这样。\n第{life}世的修仙路。\n正式重新开始。,"And so,\nlife {life}'s cultivation journey\nofficially begins again."
