event_id,Chinese,English,Type,Mood,Weight,Cultivation,SpiritStone,Lifespan,RealmMin,RealmMax,PersonalityRequired,,LuckImpact,EventTier,EventChain
EVT034,气血翻涌。,Spiritual energy surged violently.,Cultivation,Confused,20,-10,0,0,1,99,,,,,
EVT035,经脉通畅。,Meridians became clearer.,Cultivation,Happy,20,15,0,0,1,99,,,,,
EVT036,经脉堵塞。,Meridians became blocked.,Cultivation,Confused,15,-10,0,0,1,99,,,,,
EVT037,吸收到浓郁灵气。,Absorbed rich spiritual energy.,Cultivation,Happy,15,20,0,0,1,99,,,,,
EVT038,灵气突然消散。,Spiritual energy suddenly dissipated.,Cultivation,Confused,15,-10,0,0,1,99,,,,,
EVT039,修炼效率翻倍。,Cultivation efficiency doubled.,Cultivation,Happy,10,25,0,0,1,99,,,,,
EVT040,今天状态极佳。,Felt exceptionally focused today.,Cultivation,Happy,20,15,0,0,1,99,,,,,
EVT041,发现神秘洞穴,Discovered a mysterious cave,Adventure,Curious,30,5,0,0,1,99,,,,,
EVT042,洞穴空空如也,The cave was completely empty,Adventure,Confused,25,0,0,0,1,99,,,,,
EVT043,找到古老石碑,Found an ancient stone tablet,Adventure,Curious,20,10,0,0,1,99,,,,,
EVT044,看不懂石碑内容,Could not understand the stone tablet,Adventure,Confused,20,0,0,0,1,99,,,,,
EVT045,进入小秘境,Entered a hidden realm,Adventure,Happy,15,15,0,0,1,99,,,,,
EVT046,在秘境迷路了,Got lost in a hidden realm,Adventure,Confused,15,-5,0,0,1,99,,,,,
EVT047,发现宝箱,Found a treasure chest,Adventure,Happy,10,0,5,0,1,99,,,,,
EVT048,宝箱竟然是空的,The treasure chest was empty,Adventure,Confused,10,0,0,0,1,99,,,,,
EVT049,获得残破法宝,Obtained a damaged artifact,Adventure,Happy,8,10,0,0,1,99,,,,,
EVT050,遇见神秘老人,Met a mysterious old man,Adventure,Curious,5,20,0,0,1,99,,,,,
EVT051,偷偷吃聚气丹,Secretly ate a Qi Gathering Pill,Pill,Happy,30,20,0,0,1,99,,,,,
EVT052,丹药效果极佳,The pill worked perfectly,Pill,Happy,15,30,0,0,1,99,,,,,
EVT053,吃到过期丹药,Ate an expired pill,Pill,Confused,10,-10,0,0,1,99,,,,,
EVT054,炼丹失败,Alchemy attempt failed,Alchemy,Confused,25,-5,0,0,1,99,,,,,
EVT055,炼丹成功,Successfully refined a pill,Alchemy,Happy,20,15,0,0,1,99,,,,,
EVT056,炼出极品丹药,Created a high-grade pill,Alchemy,Happy,5,40,0,0,1,99,,,,,
EVT057,炼出奇怪丹药,Created a strange pill,Alchemy,Confused,10,5,0,0,1,99,,,,,
EVT058,吃完肚子痛,Got a stomach ache after eating a pill,Pill,Confused,15,-5,0,0,1,99,,,,,
EVT059,精神百倍,Felt full of energy,Pill,Happy,20,10,0,0,1,99,,,,,
EVT060,吃完后傻笑一天,Spent the day laughing after taking a pill,Pill,Happy,10,5,0,0,1,99,,,,,
EVT061,收到宗门邀请,Received an invitation from a sect,Sect,Happy,15,10,0,0,1,99,,,,,
EVT062,被宗门拒绝,Rejected by a sect,Sect,Confused,10,-5,0,0,1,99,,,,,
EVT063,受到长老表扬,Praised by an elder,Sect,Happy,10,15,0,0,1,99,,,,,
EVT064,被长老训斥,Scolded by an elder,Sect,Confused,10,-5,0,0,1,99,,,,,
EVT065,偷听长老谈话,Overheard a conversation between elders,Sect,Curious,10,5,0,0,1,99,,,,,
EVT066,宗门举办大比,The sect announced a tournament,Sect,Happy,8,5,0,0,1,99,,,,,
EVT067,报名参加大比,Registered for the sect tournament,Sect,Happy,8,10,0,0,1,99,,,,,
EVT068,第一轮被淘汰,Eliminated in the first round,Sect,Confused,8,-5,0,0,1,99,,,,,
EVT069,意外获得名次,Unexpectedly placed in the rankings,Sect,Happy,5,20,3,0,1,99,,,,,
EVT070,赢得同门掌声,Received applause from fellow disciples,Sect,Happy,10,5,0,0,1,99,,,,,
EVT071,遇见一位女修,Met a female cultivator,Social,Happy,15,0,0,0,1,99,,,,,
EVT072,遇见一位男修,Met a male cultivator,Social,Happy,15,0,0,0,1,99,,,,,
EVT073,对方没有理会他,The other cultivator ignored him,Social,Confused,10,0,0,0,1,99,,,,,
EVT074,鼓起勇气搭话,Worked up the courage to start a conversation,Social,Happy,10,5,0,0,1,99,,,,,
EVT075,收到好人卡,Got friend-zoned,Social,Confused,5,-5,0,0,1,99,,,,,
EVT076,收到神秘礼物,Received a mysterious gift,Social,Happy,8,10,2,0,1,99,,,,,
EVT077,偷偷关注对方,Secretly kept an eye on someone,Social,Curious,10,0,0,0,1,99,,,,,
EVT078,情书写失败了,Failed to write a love letter,Social,Confused,5,0,0,0,1,99,,,,,
EVT079,情书成功送出,Successfully delivered a love letter,Social,Happy,5,10,0,0,1,99,,,,,
EVT080,春心萌动,Felt the stirrings of romance,Social,Happy,8,0,0,0,1,99,,,,,
EVT081,收养了一只小狐狸,Adopted a little fox,Beast,Happy,10,0,0,0,1,99,,,,,
EVT082,狐狸偷吃丹药,The fox stole a pill,Beast,Confused,10,-5,0,0,1,99,,,,,
EVT083,收养了一只灵龟,Adopted a spirit turtle,Beast,Happy,10,0,0,1,1,99,,,,,
EVT084,灵龟失踪一天,The spirit turtle disappeared for a day,Beast,Confused,8,0,0,0,1,99,,,,,
EVT085,收养了一只灵鸟,Adopted a spirit bird,Beast,Happy,10,5,0,0,1,99,,,,,
EVT086,灵兽找到宝物,The spirit beast found a treasure,Beast,Happy,5,10,5,0,1,99,,,,,
EVT087,灵兽闯祸了,The spirit beast caused trouble,Beast,Confused,8,-5,-2,0,1,99,,,,,
EVT088,灵兽睡着了,The spirit beast fell asleep,Beast,Sleepy,10,0,0,0,1,99,,,,,
EVT089,灵兽心情很好,The spirit beast seemed happy,Beast,Happy,10,5,0,0,1,99,,,,,
EVT090,灵兽带回灵石,The spirit beast brought back Spirit Stones,Beast,Happy,8,0,5,0,1,99,,,,,
EVT091,感受到天劫气息,Sensed the approach of a Heavenly Tribulation,Major,Confused,5,20,0,0,1,99,,,,,
EVT092,成功突破境界,Successfully broke through to a new realm,Major,Happy,5,50,0,0,1,99,,,,,
EVT093,突破失败,Failed the breakthrough,Major,Confused,5,-20,0,-1,1,99,,,,,
EVT094,寿元减少一年,Lost one year of lifespan,Major,Confused,8,0,0,-1,1,99,,,,,
EVT095,气运提升,Luck increased significantly,Major,Happy,5,10,0,1,1,99,,,,,
EVT096,获得神秘传承,Inherited a mysterious legacy,Major,Happy,2,60,10,0,1,99,,,,,
EVT097,遭遇心魔,Encountered an inner demon,Major,Confused,5,-15,0,0,1,99,,,,,
EVT098,战胜心魔,Defeated the inner demon,Major,Happy,5,25,0,0,1,99,,,,,
EVT099,离飞升更近一步,Moved one step closer to Ascension,Major,Happy,2,40,0,0,1,99,,,,,
EVT100,仰望天空思考长生,Looked at the sky and pondered immortality,Philosophy,Normal,10,10,0,0,1,99,,,,,
