id,name_zh,name_en,set_id,piece_index,total_pieces,rarity,description_zh,description_en,obtain_method,,
frag_013,仙药秘典·中,Legendary Herb Sutra - Volume Two,herb_book_legendary,2,3,legendary,中卷写得很玄乎，大概意思是信则有。,The middle volume is vague. The gist seems to be that believing is the key.,special_event,,
frag_014,仙药秘典·下,Legendary Herb Sutra - Volume Three,herb_book_legendary,3,3,legendary,下卷被人撕了一半，剩下的字看起来很重要。,"Half the final volume is torn off, and the remaining text looks important.",codex_reward,,
frag_015,炼丹不炸炉入门·上,Alchemy 101 - Lesson One,alchemy_guide_01,1,3,uncommon,第一课：先把火关小一点。,Lesson one: turn the flame down a bit.,market,,
frag_016,炼丹不炸炉入门·中,Alchemy 101 - Lesson Two,alchemy_guide_01,2,3,uncommon,第二课：闻到焦味就该停手了。,"Lesson two: if it smells burnt, stop immediately.",adventure,,
frag_017,炼丹不炸炉入门·下,Alchemy 101 - Lesson Three,alchemy_guide_01,3,3,uncommon,第三课：炸了也没事，下次再来。,"Lesson three: if it blows up, just try again.",special_event,,
frag_018,雷劫避坑指南·一,Tribulation Pitfall Guide - Rule One,thunder_guide_01,1,3,rare,第一条：千万别站在最高的地方。,Rule one: never stand on the highest point.,adventure,,
frag_019,雷劫避坑指南·二,Tribulation Pitfall Guide - Rule Two,thunder_guide_01,2,3,rare,第二条：金属法器收好，别问为什么。,"Rule two: put away anything metal, and don't ask why.",random_event,,
frag_020,雷劫避坑指南·三,Tribulation Pitfall Guide - Rule Three,thunder_guide_01,3,3,rare,第三条：实在躲不开，就闭眼，反正帮不上忙。,"Rule three: if you can't dodge it, close your eyes. It won't help, but you'll feel better.",special_event,,
frag_021,摸鱼修炼心得·壹,Slacking-Off Notes - Tip One,slacking_notes_01,1,4,common,第一条心得：挂机也是修炼的一种。,Tip one: idling counts as cultivation too.,forest,,
frag_022,摸鱼修炼心得·贰,Slacking-Off Notes - Tip Two,slacking_notes_01,2,4,common,第二条心得：能坐着就别站着。,"Tip two: if you can sit, don't stand.",forest,,
frag_023,摸鱼修炼心得·叁,Slacking-Off Notes - Tip Three,slacking_notes_01,3,4,uncommon,第三条心得：摸鱼也要讲技巧，别太明显。,Tip three: slacking off needs subtlety. Don't be obvious.,random_event,,
frag_024,摸鱼修炼心得·肆,Slacking-Off Notes - Tip Four,slacking_notes_01,4,4,uncommon,第四条心得：以上心得，作者自己也没做到。,Tip four: the author never actually followed any of these tips.,adventure,,
frag_025,凡人也想成仙手册·一,Mortal Ascension Handbook - Chapter One,mortal_ascend_01,1,3,common,第一章：先从打坐不睡着开始。,Chapter one: start by not falling asleep while meditating.,forest,,
frag_026,凡人也想成仙手册·二,Mortal Ascension Handbook - Chapter Two,mortal_ascend_01,2,3,common,第二章：吃药材之前先确认能不能吃。,Chapter two: check if the herb is edible before eating it.,market,,
frag_027,凡人也想成仙手册·三,Mortal Ascension Handbook - Chapter Three,mortal_ascend_01,3,3,common,第三章：成仙之前，先活下去。,"Chapter three: before ascending, survive first.",random_event,,
frag_028,小白生存手册·壹,Newbie Survival Handbook - Rule One,newbie_survival_01,1,4,common,第一条：遇到奇遇先别慌。,Rule one: don't panic when an encounter pops up.,forest,,
frag_029,小白生存手册·贰,Newbie Survival Handbook - Rule Two,newbie_survival_01,2,4,common,第二条：死亡不是结束，是转世的开始。,Rule two: death isn't the end. It's just the start of reincarnation.,random_event,,
frag_030,小白生存手册·叁,Newbie Survival Handbook - Rule Three,newbie_survival_01,3,4,common,第三条：丹药虽好，别贪多。,"Rule three: pills help, but don't overdo it.",market,,
frag_031,小白生存手册·肆,Newbie Survival Handbook - Rule Four,newbie_survival_01,4,4,common,第四条：活得久比活得猛更重要。,Rule four: lasting long matters more than going hard.,adventure,,
frag_032,打工人修仙日记·一,Working Stiff's Diary - Entry One,cultivator_diary_01,1,3,uncommon,今天打坐三个小时，老板没发现我在修仙。,Meditated for three hours today. The boss didn't notice I was cultivating.,random_event,,
frag_033,打工人修仙日记·二,Working Stiff's Diary - Entry Two,cultivator_diary_01,2,3,uncommon,突破失败了，明天继续上班，假装什么都没发生。,Breakthrough failed. Going to work tomorrow like nothing happened.,adventure,,
frag_034,打工人修仙日记·三,Working Stiff's Diary - Entry Three,cultivator_diary_01,3,3,uncommon,转世了，新的一天，新的搬砖。,"Reincarnated. New day, new grind.",special_event,,
frag_035,转世小贴士·一,Reincarnation Tips - Tip One,reincarnation_tips_01,1,3,rare,第一条：转世之前的烦恼，转世之后就不记得了。,"Tip one: whatever worries you now, you won't remember after reincarnating.",adventure,,
frag_036,转世小贴士·二,Reincarnation Tips - Tip Two,reincarnation_tips_01,2,3,rare,第二条：上辈子的称号，这辈子还能用。,Tip two: titles from your past life still carry over.,random_event,,
frag_037,转世小贴士·三,Reincarnation Tips - Tip Three,reincarnation_tips_01,3,3,rare,第三条：死得越搞笑，下辈子运气越好，可能。,"Tip three: the funnier the death, the better next life's luck. Maybe.",special_event,,
frag_038,突破玄学笔记·一,Breakthrough Superstitions - Note One,breakthrough_notes_01,1,3,epic,第一条：突破前烧香，纯属心理安慰。,Tip one: lighting incense before a breakthrough is pure psychological comfort.,adventure,,
frag_039,突破玄学笔记·二,Breakthrough Superstitions - Note Two,breakthrough_notes_01,2,3,epic,第二条：穿幸运颜色的衣服，没用但好看。,"Tip two: wear your lucky color. Useless, but stylish.",special_event,,
frag_040,突破玄学笔记·三,Breakthrough Superstitions - Note Three,breakthrough_notes_01,3,3,epic,第三条：失败了就怪丹药，从来不怪自己。,Tip three: blame the pill if it fails. Never blame yourself.,random_event,,
