ID,TextZh,TextEn
intro_first_024,今天是{name}修仙的第一天。\n也可能是摸鱼生涯的第一天。\n两者并不矛盾。,Today is {name}'s first day cultivating.\nIt may also be the first day of professional slacking.\nBoth can be true.
intro_first_025,传说中的天纵奇才。\n一出生就会修炼。\n{name}出生那天，主要在哭。,"Legendary geniuses cultivate from birth.\nOn {name}'s birth day,\nthe main activity was crying."
intro_first_026,越努力越幸运。\n{name}决定先验证一下。\n实验周期：不确定。,"The harder you work, the luckier you get.\n{name} will test this theory.\nExperiment duration: unclear."
intro_first_027,据{name}自己分析。\n唯一的天赋可能是：\n抗揍。,"According to {name}'s own analysis,\nthe only talent might be:\ntaking hits."
intro_first_028,修仙界很卷。\n{name}决定躺平迎接这份卷。,The cultivation world is competitive.\n{name} chooses to lie down and face it calmly.
intro_first_029,{name}发誓要成为人上人。\n然后觉得地上躺着也挺好。,{name} swore to rise above everyone.\nThen realized the floor is also quite comfortable.
intro_first_030,修仙如逆水行舟，不进则退。\n{name}觉得：那至少先别沉。,Cultivation is like rowing upstream.\n{name}'s first goal: don't sink.
intro_first_031,今天{name}立下宏愿：\n要修炼一万年。\n至于从哪天开始，明天再决定。,Today {name} made a grand vow:\ntrain for ten thousand years.\nThe start date can be decided tomorrow.
intro_first_032,{name}的座右铭：\n修仙先修心。\n修心先睡觉。,{name}'s motto:\ncultivate the heart first.\nRest the heart first-first.
intro_first_033,坚持就能成功。\n{name}打算先坚持躺一会儿。,Persistence leads to success.\n{name} will persist at lying down for a while.
intro_first_034,天选之子的标配是惊艳出场。\n{name}的标配是黑卫衣，普通出场。,"Chosen ones make dramatic entrances.\n{name} enters normally, in a black hoodie."
intro_first_035,{name}的开局属性：\n帅气值正常。\n天赋值正常。\n摆烂值：爆表。,{name}'s starting stats:\nLooks: normal.\nTalent: normal.\nSlacking: off the chart.
intro_first_036,凡人时期的{name}。\n最大愿望是不上班。\n修仙时期的{name}。\n愿望没有变化。,"As a mortal, {name}'s biggest wish was not to work.\nAs a cultivator,\nthat wish remains unchanged."
intro_first_037,{name}决定把修仙当成一份工作。\n区别是：没有老板。\n坏消息：老板可能是天道。,{name} decided to treat cultivation like a job.\nDifference: no boss.\nBad news: heaven might be the boss.
intro_first_038,修仙理由很朴素：\n比上班好。\n应该吧。,The reason for cultivating is simple:\nprobably better than going to work.
intro_first_039,即便是修仙界，也逃不过一句话：\n先苦后甜。\n{name}决定先问问甜在哪里。,"Even cultivation follows one rule:\nbitter first, sweet later.\n{name} would like to locate the sweet part first."
intro_first_040,有些人含着金灵根出生。\n{name}含着一颗想躺平的心出生。,Some are born with golden roots.\n{name} was born with a heart that wants to lie flat.
intro_first_041,天道说，修仙之路漫长且孤独。\n{name}说：那正好，不用社交了。,"Heaven says cultivation is long and lonely.\n{name} says: great, less socializing."
intro_first_042,有人说修仙没有捷径。\n{name}觉得，至少也该有个电梯。,They say there are no shortcuts in cultivation.\n{name} thinks there should at least be an elevator.
intro_first_043,未来的路很长。\n但{name}已经迈出第一步：\n穿上了黑色卫衣。,The road ahead is long.\nBut {name} has taken the first step:\nputting on the black hoodie.
intro_first_044,{name}对未来没有太多规划。\n只知道比昨天强一点就够了。,{name} doesn't have a grand plan.\nBeing a little better than yesterday is enough.
intro_first_045,不是所有人都能飞升。\n但所有人都可以认真活一次。\n{name}决定从这次开始。,Not everyone ascends.\nBut everyone can live one life seriously.\n{name} starts with this one.
intro_first_046,修仙界没有保送名额。\n{name}也没指望有。\n公平竞争，挺好。,There are no guaranteed admissions in cultivation.\n{name} didn't expect one.\nFair enough.
intro_first_047,{name}的使命暂时还没下载完成。\n请稍后再试。,{name}'s destiny is still downloading.\nPlease try again later.
intro_first_048,{name}的起点很低。\n但起点低，不代表上限低。\n至少他这么希望。,"{name}'s starting point is low.\nA low start doesn't mean a low ceiling.\nAt least, that's the hope."
intro_first_049,{name}的故事，从一个普通下午开始。\n没有特效，没有BGM。\n但故事确实开始了。,"{name}'s story begins on an ordinary afternoon.\nNo effects, no BGM.\nBut it begins."
intro_first_050,就这样。\n{name}的修仙之路。\n正式开始。,"And so,\n{name}'s cultivation journey\nofficially begins."
