id,realm,chinese,english
43,武者,打坐冲关，体内真气一时找不到归位，乱窜。,"The true qi momentarily lost its way back, running wild inside."
44,武者,突破一半，想起上次比武输给二师兄，心里不甘。,"Remembered losing to the second senior brother last time, and felt resentful."
45,武者,运气时，丹田突然一阵灼热，差点失控。,"The dantian suddenly burned hot, nearly spiraling out of control."
46,武者,冲击境界，远处传来兵器坠地声，心神一惊。,The sound of a weapon dropping in the distance startled the mind.
47,武者,打坐时，旧伤的骨头突然一阵酸痛。,Old bones suddenly ached during meditation.
48,武者,突破一半，体内劲力运转不畅，堵在了胸口。,"The internal force flow stalled, getting stuck in the chest halfway through."
49,武者,冲击境界，想起还欠武馆这个月的束脩，心头一沉。,"Remembered owing this month's training fees, and the heart sank."
50,武者,运转真气，旧创口的寒气突然窜出，浑身一颤。,"A chill from an old wound suddenly surged, shaking the whole body."
51,先天,冲击境界时，体内灵气突然紊乱，如潮水反涌。,"The spiritual qi inside suddenly turned chaotic, surging back like a tide."
52,先天,突破一半，感知到远方有异兽咆哮，心神一震。,"Sensed a beast's roar from afar halfway through, and the mind shook."
53,先天,运转灵气，丹田突然空了一瞬，险些气散。,"The dantian suddenly went empty for an instant, nearly causing the qi to scatter."
54,先天,冲击境界，天地灵气波动异常，难以承受。,"The heaven-and-earth qi fluctuated abnormally, too much to bear."
55,先天,打坐冲关，忽然心生杂念，怀疑自己是否走对了路。,"A stray thought arose during the breakthrough, doubting whether the path taken was right."
56,先天,突破时，体内灵根突然排斥外来灵气，险象环生。,"The spiritual root suddenly rejected the incoming qi, a dangerous moment."
57,先天,冲击境界，感受到天劫的气息提前降临，心神大乱。,"Sensed the aura of tribulation arriving early, throwing the mind into chaos."
58,先天,运转灵气，经脉突然一阵刺痛，气息中断。,"The meridians suddenly stung sharply, cutting off the flow of qi."
59,先天,打坐到关键处，灵识突然飘忽，差点神游天外。,"The spiritual sense suddenly drifted, nearly wandering beyond the body."
60,先天,突破一半，体内两种灵根之力互相排斥。,Two forces from the spiritual root repelled each other halfway through.
61,先天,冲击境界，忽然顿悟一瞬却又转瞬即逝，心生懊恼。,"A flash of insight came and vanished in an instant, leaving frustration behind."
62,先天,运气时，丹田灵气浓度骤降，几乎前功尽弃。,"The qi density in the dantian suddenly dropped, nearly wasting all progress."
63,先天,打坐冲关，感受到远方有人渡劫失败的气息，心神一沉。,"Sensed someone failing their tribulation far away, and the heart sank."
64,先天,突破时，体内灵气与天地灵气共鸣过猛，险些走火入魔。,"The inner qi resonated too violently with the world's qi, nearly causing deviation."
65,先天,冲击境界，灵根深处传来一阵抗拒之意。,A sense of resistance welled up from deep within the spiritual root.
66,先天,运转真元，忽觉灵台一片空白，思绪断了线。,"The spiritual platform suddenly went blank, severing the train of thought."
67,先天,打坐到一半，天空乌云骤聚，心知不妙却已分神。,"Dark clouds suddenly gathered in the sky, and the distraction had already taken hold."
68,先天,突破时，体内灵气走错经脉，绕了一大圈。,"The inner qi took a wrong meridian, looping far out of the way."
69,先天,冲击境界，忽然听见空中传来雷鸣般的低吼。,Suddenly heard a thunderous growl echoing from the sky.
70,先天,运气关键处，灵根突然剧烈震动，险些失控。,"The spiritual root suddenly trembled violently, nearly spiraling out of control."
71,先天,打坐冲关，感知到附近有强者突破的余波，心神微动。,"Sensed the aftershock of a powerful cultivator's breakthrough nearby, slightly disturbing the mind."
72,先天,突破一半，丹田内灵气如沸水般翻滚，难以平息。,"The qi in the dantian churned like boiling water, impossible to calm."
73,先天,冲击境界，灵识忽然捕捉到一丝不祥的预感。,The spiritual sense suddenly caught an ominous premonition.
74,先天,运转灵气，经脉深处传来一阵从未有过的阻塞感。,A blockage never felt before surged deep within the meridians.
75,先天,打坐到关键时刻，忽然有顿悟却抓不住，心生遗憾。,"A moment of insight arose at the critical point but slipped away, leaving regret."
76,炼气,冲击境界时，天地法则隐隐排斥，举步维艰。,"The laws of heaven and earth subtly resisted, making every step a struggle."
77,炼气,突破一半，感受到大道法则的审视，心神紧绷。,"Halfway through, felt the scrutiny of the great Dao's laws, the mind taut as a string."
78,炼气,运转大道之气，丹田深处传来一阵难以言喻的震荡。,An indescribable tremor surged deep in the dantian while channeling the Dao's qi.
79,炼气,冲击境界，体内三千气脉同时共鸣，几乎承受不住。,"Three thousand qi-channels resonated at once, almost too much to bear."
80,炼气,打坐冲关，忽然窥见大道一角，却因震撼而失神。,"Glimpsed a fragment of the great Dao, but the shock itself broke concentration."
81,炼气,突破时，天地灵气骤然向自己汇聚，反被其反噬。,"The world's qi suddenly converged toward the self, and the backlash struck instead."
82,炼气,冲击境界，灵魂深处传来古老的低语，令人心惊。,"An ancient whisper rose from deep within the soul, startling the mind."
83,炼气,运转大道法则，体内三魂七魄微微错位，险象环生。,The three souls and seven spirits shifted slightly out of alignment — a dangerous moment.
84,炼气,打坐到关键处，忽觉天地间有无形之力正在凝视自己。,Felt an invisible force in heaven and earth watching closely at the critical moment.
85,炼气,突破一半，丹田内灵气浓度突破临界，险些爆体。,"The qi density in the dantian crossed a critical threshold, nearly causing the body to burst."
86,炼气,冲击境界，体内大道气机紊乱，如逆水行舟。,"The Dao's energy inside turned chaotic, like rowing against the current."
87,炼气,运转灵气，忽然感应到一道跨越时空的注视，心神一震。,"Suddenly sensed a gaze crossing time and space, shaking the mind."
88,炼气,打坐冲关，灵魄深处浮现出前世的一丝残影，心神动摇。,"A faint echo of a past life surfaced from deep within the soul, shaking resolve."
89,炼气,突破时，三千大道气机交汇，几乎将自己撕裂。,"Three thousand strands of Dao energy converged, nearly tearing the self apart."
90,炼气,冲击境界，感受到天地法则的考验，意志几近崩溃。,"Felt the trial of heaven and earth's laws, willpower nearly collapsing."
91,炼气,运转大道之气，体内灵魄突然产生强烈的排斥感。,The soul inside suddenly produced a strong sense of rejection while channeling the Dao.
92,炼气,打坐到关键处，忽然窥见因果之网的一角，心生震撼。,"Glimpsed a corner of the web of cause and effect, shaken to the core."
93,炼气,突破一半，天地灵气如潮水般涌入，难以驾驭。,"The world's qi surged in like a tide, impossible to control halfway through."
94,炼气,冲击境界，灵魂深处响起一声若有若无的钟鸣。,"A faint, ethereal bell tolled deep within the soul."
95,炼气,运转大道法则，丹田内三气合一失败，险些走火入魔。,"The fusion of three energies in the dantian failed, nearly causing deviation."
96,炼气,打坐冲关，忽然感受到无数道目光跨越虚空注视而来。,Suddenly felt countless gazes crossing the void to watch.
97,炼气,突破时，体内法则之力与肉身产生剧烈冲突。,The power of the laws inside clashed violently with the physical body.
98,炼气,冲击境界，灵魄深处传来一阵似曾经历过的既视感。,A strange sense of déjà vu surged from deep within the soul.
99,炼气,运转大道之气，三千气脉同时逆转，几乎神魂俱灭。,"Three thousand qi-channels reversed simultaneously, nearly annihilating body and soul."
100,炼气,打坐到关键处，忽然窥见大道尽头的一缕虚影，心神剧震。,"Glimpsed a faint shadow at the end of the great Dao, the mind shaking violently."
