id,name_zh,name_en,rarity,realm_required,description_zh,description_en,obtain_method,base_value,tags
herb_039,寒玉芝,Cold Jade Lingzhi,rare,练气,摸起来冰凉，据说能镇住浮躁的心。,Cool to the touch. Said to settle a restless mind.,adventure,36,healing|qi
herb_040,九转回魂草,Nine-Turn Soul-Recall Grass,epic,练气,据说要转九次才能长成，急脱根的那种。,Said to take nine growth cycles to mature. Quite the impatient root.,special_event,58,healing|funny
herb_041,炼气竹,Qi-Refining Bamboo,rare,练气,竹节里藏着一点灵气，敲开才看得到。,A bit of qi hides inside each bamboo joint. Must crack it open to see.,forest,35,qi
herb_042,摸鱼草,Slacking-Off Grass,uncommon,练气,长在最舒服的阴凉处，名字很贴切。,Grows in the comfiest shade. The name fits perfectly.,forest,20,funny|mood
herb_043,九叶炼气花,Nine-Leaf Qi-Refining Flower,epic,练气,九片叶子全齐才算合格，少一片就降级。,Needs all nine leaves intact to count as proper quality.,special_event,56,qi|breakthrough
herb_044,雷劫余烬草,Thunder Tribulation Ember Grass,epic,练气,长在雷劫劈过的地方，带着一点焦味。,Grows where lightning tribulation struck. Faintly smells of char.,random_event,54,qi|luck|poison
herb_045,缥缈仙雾草,Ethereal Immortal Mist Grass,rare,练气,摘下来就开始变淡，得赶紧用。,Starts fading the moment it's picked. Use it quickly.,adventure,37,qi|mood
herb_046,炼气期信物花,Qi-Refining Token Flower,rare,练气,炼气期修士常互相赠送，据说能传情也能炼丹。,Cultivators often gift these to each other. Works for romance and alchemy alike.,adventure,34,qi|alchemy
herb_047,筑基灵根,Foundation Spirit Root,epic,筑基,筑基期专属灵根，据说扎得很深。,A root exclusive to the Foundation stage. Said to dig in deep.,special_event,62,breakthrough|qi
herb_048,紫金灵芝,Purple Gold Lingzhi,epic,筑基,颜色又紫又金，看着就很贵。,Purple and gold colored. Looks expensive just sitting there.,special_event,65,healing|qi
herb_049,筑基青莲,Foundation Azure Lotus,rare,筑基,长在筑基期修士常去的池子边，花期很短。,Grows by ponds Foundation-stage cultivators frequent. Blooms briefly.,adventure,42,qi|breakthrough
herb_050,玄铁灵草,Mystic Iron Spirit Grass,rare,筑基,草茎硬得像铁，得用专门的工具采摘。,The stem is iron-hard. Needs special tools to harvest.,adventure,44,body|breakthrough
herb_051,凝丹花,Core-Forming Flower,epic,筑基,花心凝结出一点丹元气息，炼丹师都抢着要。,Its center holds a trace of core energy. Alchemists fight over it.,special_event,68,alchemy|qi
herb_052,筑基期打工符草,Foundation-Stage Overtime Charm Grass,rare,筑基,据说修士打坐久了也会加班，这草专为他们而生。,For cultivators who meditate so long it counts as overtime.,forest,40,funny|qi
herb_053,七色云芝,Seven-Color Cloud Lingzhi,epic,筑基,七种颜色轮流变换，拿在手里像彩虹糖。,Cycles through seven colors. Looks like a handful of rainbow candy.,special_event,64,qi|luck
herb_054,不知名筑基灵果,Unnamed Foundation Spirit Fruit,rare,筑基,没人给它正式命名，暂时就叫那个果子。,Nobody's bothered to officially name it. For now it's just called that fruit.,adventure,41,funny|qi
herb_055,金丹引,Golden Core Catalyst,legendary,金丹,传说能引出金丹雏形，市面上几乎见不到。,Said to coax a golden core into form. Nearly impossible to find on the market.,special_event,88,breakthrough|alchemy
herb_056,太乙紫金莲,Taiyi Purple Gold Lotus,legendary,金丹,名字一听就很贵，效果也确实不便宜。,The name alone sounds expensive. The effect matches the price tag.,special_event,92,qi|healing
herb_057,九阳金丹草,Nine-Yang Golden Core Grass,legendary,金丹,九道阳气凝在一株草上，据说炼制时会发金光。,Nine strands of yang energy condensed into one grass. Said to glow gold while brewing.,special_event,90,qi|breakthrough
herb_058,古海龟息草,Ancient Sea Turtle Breath Grass,epic,金丹,据说是海龟呼出的气凝成的草，长寿气息很重。,Said to form from an ancient turtle's breath. Smells strongly of longevity.,special_event,70,healing|qi
herb_059,凝光灵果,Light-Condensing Spirit Fruit,epic,金丹,果皮会反光，黑夜里像个小灯泡。,"The skin reflects light, looking like a tiny lightbulb at night.",special_event,72,qi|luck
herb_060,传说级打工人参(真),Legendary Overtime Ginseng (Real),legendary,金丹,据说是打工人参修炼成精后的真身，传说级别的过劳产物。,The true form of Overtime Ginseng after years of cultivation. A legendary product of overwork.,codex_reward,95,funny|body|qi|luck
